date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,CountBreathCum,CountDeathCum,CountCriticalStatus,CountSeriousCriticalCum,serious_critical_new,count_ecmo
2020-03-02T00:00:00.000Z,3,10,10,0,0,10,0,0,3083,0.003243593902043464,5429,-148,0,0,0,0,0,0,
2020-03-03T00:00:00.000Z,0,10,10,0,0,10,0,0,3083,0.003243593902043464,7589,-145,0,0,0,0,0,0,
2020-03-04T00:00:00.000Z,3,12,11,0,0,12,0,0,3083,0.003892312682452157,6755,-146,0,0,0,0,0,0,
2020-03-05T00:00:00.000Z,2,13,13,1,0,12,0,0,3083,0.004216672072656504,6836,-139,0,0,0,0,1,1,0
2020-03-06T00:00:00.000Z,3,16,16,2,0,14,1,0,3083,0.005189750243269542,4978,-138,0,1,0,0,2,1,0
2020-03-07T00:00:00.000Z,3,19,19,3,0,16,2,0,3083,0.006162828413882582,4682,-137,0,2,0,0,3,1,0
2020-03-08T00:00:00.000Z,8,26,26,5,0,21,4,0,3083,0.008433344145313007,7075,-135,0,4,0,0,5,2,
2020-03-09T00:00:00.000Z,16,40,40,5,0,35,4,0,3083,0.01297437560817386,6009,-145,0,4,0,0,5,0,0
2020-03-10T00:00:00.000Z,19,61,61,6,0,55,5,0,3083,0.01978592280246513,5803,-133,0,5,0,0,6,1,0
2020-03-11T00:00:00.000Z,25,84,83,7,1,76,6,0,3083,0.0272461887771651,5719,-136,0,6,0,0,7,1,0
2020-03-12T00:00:00.000Z,23,107,104,7,1,99,6,0,3083,0.03470645475186507,5769,-135,0,6,0,0,7,0,0
2020-03-13T00:00:00.000Z,23,126,125,7,5,114,6,0,3083,0.04086928316574765,3985,-122,0,6,0,0,7,0,0
2020-03-14T00:00:00.000Z,40,166,164,6,5,155,4,0,3083,0.05384365877392151,3550,-132,0,6,0,0,8,1,0
2020-03-15T00:00:00.000Z,41,205,203,9,7,189,6,0,3083,0.06649367499189102,5336,-131,0,8,0,0,11,3,0
2020-03-16T00:00:00.000Z,24,224,218,11,6,207,7,0,3083,0.07265650340577359,4620,-73,0,9,0,0,13,2,0
2020-03-17T00:00:00.000Z,45,259,259,12,7,240,7,0,3083,0.08400908206292572,4223,-22,0,9,0,0,14,1,0
2020-03-18T00:00:00.000Z,54,312,274,16,12,284,7,0,3083,0.1012001297437561,3764,86,0,9,0,0,18,4,0
2020-03-19T00:00:00.000Z,30,300,269,21,12,267,12,0,3083,0.09730781706130393,3927,223,0,14,0,0,23,5,0
2020-03-20T00:00:00.000Z,30,293,255,23,15,255,12,1,3083,0.0950373013298735,3096,403,0,14,1,0,26,3,0
2020-03-21T00:00:00.000Z,34,284,281,27,22,235,15,0,3083,0.09211806681803439,2791,585,0,17,1,0,30,4,0
2020-03-22T00:00:00.000Z,54,333,314,38,33,262,22,0,3083,0.1080116769380474,4359,799,0,24,1,0,41,11,0
2020-03-23T00:00:00.000Z,58,363,331,44,37,282,24,0,3083,0.1177424586441778,3905,1125,0,28,1,0,48,7,0
