amount,amountVirusDiagnosis,date,positiveAmount
103,103,1999-01-01T00:00:00.000Z,-1
3,3,2020-01-26T00:00:00.000Z,-1
1,1,2020-01-27T00:00:00.000Z,-1
3,3,2020-01-29T00:00:00.000Z,-1
4,4,2020-01-30T00:00:00.000Z,-1
7,7,2020-02-02T00:00:00.000Z,-1
7,7,2020-02-03T00:00:00.000Z,-1
6,6,2020-02-04T00:00:00.000Z,-1
40,40,2020-02-09T00:00:00.000Z,-1
28,28,2020-02-10T00:00:00.000Z,-1
50,50,2020-02-11T00:00:00.000Z,-1
35,35,2020-02-12T00:00:00.000Z,0
35,35,2020-02-13T00:00:00.000Z,0
30,30,2020-02-14T00:00:00.000Z,0
3,3,2020-02-15T00:00:00.000Z,0
23,23,2020-02-16T00:00:00.000Z,0
41,41,2020-02-17T00:00:00.000Z,0
46,46,2020-02-18T00:00:00.000Z,0
34,34,2020-02-19T00:00:00.000Z,0
29,29,2020-02-20T00:00:00.000Z,0
37,37,2020-02-21T00:00:00.000Z,1
13,13,2020-02-22T00:00:00.000Z,0
56,56,2020-02-23T00:00:00.000Z,0
76,74,2020-02-24T00:00:00.000Z,1
108,108,2020-02-25T00:00:00.000Z,0
108,108,2020-02-26T00:00:00.000Z,0
171,171,2020-02-27T00:00:00.000Z,1
119,118,2020-02-28T00:00:00.000Z,3
159,159,2020-02-29T00:00:00.000Z,0
188,179,2020-03-01T00:00:00.000Z,1
171,170,2020-03-02T00:00:00.000Z,5
235,227,2020-03-03T00:00:00.000Z,3
129,128,2020-03-04T00:00:00.000Z,0
174,165,2020-03-05T00:00:00.000Z,2
275,274,2020-03-06T00:00:00.000Z,4
336,324,2020-03-07T00:00:00.000Z,4
421,417,2020-03-08T00:00:00.000Z,9
518,515,2020-03-09T00:00:00.000Z,4
520,495,2020-03-10T00:00:00.000Z,33
402,377,2020-03-11T00:00:00.000Z,20
608,595,2020-03-12T00:00:00.000Z,21
697,692,2020-03-13T00:00:00.000Z,36
614,611,2020-03-14T00:00:00.000Z,29
1184,1126,2020-03-15T00:00:00.000Z,38
1345,1321,2020-03-16T00:00:00.000Z,73
1647,1566,2020-03-17T00:00:00.000Z,94
2108,1992,2020-03-18T00:00:00.000Z,118
2074,1981,2020-03-19T00:00:00.000Z,135
2321,2235,2020-03-20T00:00:00.000Z,168
2108,2066,2020-03-21T00:00:00.000Z,210
3350,3219,2020-03-22T00:00:00.000Z,254
3625,3499,2020-03-23T00:00:00.000Z,352
4789,4640,2020-03-24T00:00:00.000Z,423
5936,5787,2020-03-25T00:00:00.000Z,425
6504,6283,2020-03-26T00:00:00.000Z,520
5752,5586,2020-03-27T00:00:00.000Z,434
5739,5535,2020-03-28T00:00:00.000Z,480
7575,7237,2020-03-29T00:00:00.000Z,532
7100,6821,2020-03-30T00:00:00.000Z,546
7989,7531,2020-03-31T00:00:00.000Z,738
9010,8579,2020-04-01T00:00:00.000Z,697
10225,9470,2020-04-02T00:00:00.000Z,719
10329,9780,2020-04-03T00:00:00.000Z,597
6355,5988,2020-04-04T00:00:00.000Z,427
9395,8778,2020-04-05T00:00:00.000Z,583
7500,6770,2020-04-06T00:00:00.000Z,451
6971,6177,2020-04-07T00:00:00.000Z,378
5878,4947,2020-04-08T00:00:00.000Z,338
5747,5002,2020-04-09T00:00:00.000Z,343
7346,6326,2020-04-10T00:00:00.000Z,359
6702,5763,2020-04-11T00:00:00.000Z,345
10600,8525,2020-04-12T00:00:00.000Z,554
10949,9187,2020-04-13T00:00:00.000Z,438
12678,10965,2020-04-14T00:00:00.000Z,399
9451,7799,2020-04-15T00:00:00.000Z,311
12789,11209,2020-04-16T00:00:00.000Z,296
11596,9973,2020-04-17T00:00:00.000Z,298
10607,8961,2020-04-18T00:00:00.000Z,291
11480,9998,2020-04-19T00:00:00.000Z,277
15367,13295,2020-04-20T00:00:00.000Z,299
13613,11636,2020-04-21T00:00:00.000Z,283
13293,11773,2020-04-22T00:00:00.000Z,226
14183,12259,2020-04-23T00:00:00.000Z,276
12626,10477,2020-04-24T00:00:00.000Z,248
9078,7358,2020-04-25T00:00:00.000Z,159
8463,7342,2020-04-26T00:00:00.000Z,83
11405,9293,2020-04-27T00:00:00.000Z,127
10641,8817,2020-04-28T00:00:00.000Z,160
8996,7393,2020-04-29T00:00:00.000Z,82
