date,amount,recovered,avg
2020-02-12T00:00:00.000Z,0,0,7
2020-02-13T00:00:00.000Z,0,0,3
2020-02-14T00:00:00.000Z,0,0,2
2020-02-15T00:00:00.000Z,0,0,1
2020-02-16T00:00:00.000Z,0,0,1
2020-02-17T00:00:00.000Z,0,0,1
2020-02-18T00:00:00.000Z,0,0,1
2020-02-19T00:00:00.000Z,0,0,0
2020-02-20T00:00:00.000Z,0,0,0
2020-02-21T00:00:00.000Z,1,0,0
2020-02-22T00:00:00.000Z,0,0,0
2020-02-23T00:00:00.000Z,0,0,0
2020-02-24T00:00:00.000Z,1,0,0
2020-02-25T00:00:00.000Z,0,0,0
2020-02-26T00:00:00.000Z,0,0,0
2020-02-27T00:00:00.000Z,1,0,0
2020-02-28T00:00:00.000Z,3,0,0
2020-02-29T00:00:00.000Z,0,0,0
2020-03-01T00:00:00.000Z,1,0,0
2020-03-02T00:00:00.000Z,5,0,0
2020-03-03T00:00:00.000Z,3,0,1
2020-03-04T00:00:00.000Z,0,0,1
2020-03-05T00:00:00.000Z,2,0,1
2020-03-06T00:00:00.000Z,4,0,2
2020-03-07T00:00:00.000Z,4,0,2
2020-03-08T00:00:00.000Z,9,0,2
2020-03-09T00:00:00.000Z,4,0,3
2020-03-10T00:00:00.000Z,33,0,3
2020-03-11T00:00:00.000Z,19,0,8
2020-03-12T00:00:00.000Z,22,0,10
2020-03-13T00:00:00.000Z,35,1,13
2020-03-14T00:00:00.000Z,29,0,18
2020-03-15T00:00:00.000Z,39,0,21
2020-03-16T00:00:00.000Z,73,0,25
2020-03-17T00:00:00.000Z,94,2,35
2020-03-18T00:00:00.000Z,118,2,44
2020-03-19T00:00:00.000Z,136,4,58
2020-03-20T00:00:00.000Z,168,1,74
2020-03-21T00:00:00.000Z,210,1,93
2020-03-22T00:00:00.000Z,254,4,119
2020-03-23T00:00:00.000Z,352,6,150
2020-03-24T00:00:00.000Z,423,5,190
2020-03-25T00:00:00.000Z,425,6,237
2020-03-26T00:00:00.000Z,520,10,281
2020-03-27T00:00:00.000Z,434,18,336
2020-03-28T00:00:00.000Z,480,9,374
2020-03-29T00:00:00.000Z,532,15,412
2020-03-30T00:00:00.000Z,547,34,452
2020-03-31T00:00:00.000Z,738,44,480
2020-04-01T00:00:00.000Z,703,84,525
2020-04-02T00:00:00.000Z,719,84,563
2020-04-03T00:00:00.000Z,598,57,592
2020-04-04T00:00:00.000Z,428,55,615
2020-04-05T00:00:00.000Z,583,101,608
2020-04-06T00:00:00.000Z,451,121,615
2020-04-07T00:00:00.000Z,377,123,601
2020-04-08T00:00:00.000Z,338,111,550
2020-04-09T00:00:00.000Z,343,111,499
2020-04-10T00:00:00.000Z,359,130,445
2020-04-11T00:00:00.000Z,345,122,411
2020-04-12T00:00:00.000Z,552,262,399
2020-04-13T00:00:00.000Z,438,283,395
2020-04-14T00:00:00.000Z,399,296,393
2020-04-15T00:00:00.000Z,311,282,396
2020-04-16T00:00:00.000Z,296,327,392
2020-04-17T00:00:00.000Z,298,357,385
2020-04-18T00:00:00.000Z,291,246,377
2020-04-19T00:00:00.000Z,276,388,369
2020-04-20T00:00:00.000Z,299,459,329
2020-04-21T00:00:00.000Z,282,377,310
2020-04-22T00:00:00.000Z,225,396,293
2020-04-23T00:00:00.000Z,276,337,281
2020-04-24T00:00:00.000Z,248,346,278
2020-04-25T00:00:00.000Z,159,383,271
2020-04-26T00:00:00.000Z,83,432,252
2020-04-27T00:00:00.000Z,128,470,224
2020-04-28T00:00:00.000Z,159,570,200
2020-04-29T00:00:00.000Z,82,357,182
2020-04-30T00:00:00.000Z,142,431,162
2020-05-01T00:00:00.000Z,116,418,143
2020-05-02T00:00:00.000Z,57,294,124
2020-05-03T00:00:00.000Z,27,302,109
2020-05-04T00:00:00.000Z,53,261,101
2020-05-05T00:00:00.000Z,32,320,90
2020-05-06T00:00:00.000Z,65,263,72
2020-05-07T00:00:00.000Z,61,232,70
2020-05-08T00:00:00.000Z,33,228,58
2020-05-09T00:00:00.000Z,19,88,46
2020-05-10T00:00:00.000Z,29,171,41
2020-05-11T00:00:00.000Z,39,336,41
2020-05-12T00:00:00.000Z,23,262,39
2020-05-13T00:00:00.000Z,39,183,38
2020-05-14T00:00:00.000Z,22,242,34
2020-05-15T00:00:00.000Z,12,163,29
2020-05-16T00:00:00.000Z,5,102,26
2020-05-17T00:00:00.000Z,15,153,24
2020-05-18T00:00:00.000Z,27,280,22
2020-05-19T00:00:00.000Z,22,155,20
2020-05-20T00:00:00.000Z,15,117,20
2020-05-21T00:00:00.000Z,17,130,16
2020-05-22T00:00:00.000Z,19,163,16
2020-05-23T00:00:00.000Z,5,46,17
2020-05-24T00:00:00.000Z,13,117,17
2020-05-25T00:00:00.000Z,22,131,16
2020-05-26T00:00:00.000Z,50,93,16
2020-05-27T00:00:00.000Z,40,63,20
2020-05-28T00:00:00.000Z,77,115,23
2020-05-29T00:00:00.000Z,113,39,32
2020-05-30T00:00:00.000Z,29,40,45
2020-05-31T00:00:00.000Z,87,61,49
2020-06-01T00:00:00.000Z,100,69,59
2020-06-02T00:00:00.000Z,121,54,70
2020-06-03T00:00:00.000Z,97,27,81
2020-06-04T00:00:00.000Z,142,41,89
2020-06-05T00:00:00.000Z,127,37,98
2020-06-06T00:00:00.000Z,78,24,100
2020-06-07T00:00:00.000Z,140,43,107
2020-06-08T00:00:00.000Z,179,42,115
2020-06-09T00:00:00.000Z,173,45,126
2020-06-10T00:00:00.000Z,240,52,133
2020-06-11T00:00:00.000Z,191,56,154
2020-06-12T00:00:00.000Z,184,55,161
