amount,date
23,
0,2020-02-12T00:00:00.000Z
0,2020-02-13T00:00:00.000Z
0,2020-02-14T00:00:00.000Z
0,2020-02-15T00:00:00.000Z
0,2020-02-16T00:00:00.000Z
0,2020-02-17T00:00:00.000Z
0,2020-02-18T00:00:00.000Z
0,2020-02-19T00:00:00.000Z
0,2020-02-20T00:00:00.000Z
0,2020-02-21T00:00:00.000Z
0,2020-02-22T00:00:00.000Z
0,2020-02-23T00:00:00.000Z
0,2020-02-24T00:00:00.000Z
0,2020-02-25T00:00:00.000Z
0,2020-02-26T00:00:00.000Z
0,2020-02-27T00:00:00.000Z
0,2020-02-28T00:00:00.000Z
0,2020-02-29T00:00:00.000Z
1,2020-03-01T00:00:00.000Z
0,2020-03-02T00:00:00.000Z
2,2020-03-03T00:00:00.000Z
1,2020-03-04T00:00:00.000Z
0,2020-03-05T00:00:00.000Z
1,2020-03-06T00:00:00.000Z
3,2020-03-07T00:00:00.000Z
1,2020-03-08T00:00:00.000Z
2,2020-03-09T00:00:00.000Z
0,2020-03-10T00:00:00.000Z
0,2020-03-11T00:00:00.000Z
0,2020-03-12T00:00:00.000Z
1,2020-03-13T00:00:00.000Z
0,2020-03-14T00:00:00.000Z
1,2020-03-15T00:00:00.000Z
3,2020-03-16T00:00:00.000Z
6,2020-03-17T00:00:00.000Z
6,2020-03-18T00:00:00.000Z
11,2020-03-19T00:00:00.000Z
5,2020-03-20T00:00:00.000Z
5,2020-03-21T00:00:00.000Z
9,2020-03-22T00:00:00.000Z
21,2020-03-23T00:00:00.000Z
15,2020-03-24T00:00:00.000Z
20,2020-03-25T00:00:00.000Z
25,2020-03-26T00:00:00.000Z
15,2020-03-27T00:00:00.000Z
33,2020-03-28T00:00:00.000Z
52,2020-03-29T00:00:00.000Z
37,2020-03-30T00:00:00.000Z
80,2020-03-31T00:00:00.000Z
67,2020-04-01T00:00:00.000Z
106,2020-04-02T00:00:00.000Z
112,2020-04-03T00:00:00.000Z
68,2020-04-04T00:00:00.000Z
120,2020-04-05T00:00:00.000Z
108,2020-04-06T00:00:00.000Z
137,2020-04-07T00:00:00.000Z
155,2020-04-08T00:00:00.000Z
118,2020-04-09T00:00:00.000Z
212,2020-04-10T00:00:00.000Z
176,2020-04-11T00:00:00.000Z
349,2020-04-12T00:00:00.000Z
325,2020-04-13T00:00:00.000Z
395,2020-04-14T00:00:00.000Z
314,2020-04-15T00:00:00.000Z
369,2020-04-16T00:00:00.000Z
381,2020-04-17T00:00:00.000Z
382,2020-04-18T00:00:00.000Z
317,2020-04-19T00:00:00.000Z
549,2020-04-20T00:00:00.000Z
456,2020-04-21T00:00:00.000Z
372,2020-04-22T00:00:00.000Z
401,2020-04-23T00:00:00.000Z
516,2020-04-24T00:00:00.000Z
439,2020-04-25T00:00:00.000Z
239,2020-04-26T00:00:00.000Z
571,2020-04-27T00:00:00.000Z
512,2020-04-28T00:00:00.000Z
436,2020-04-29T00:00:00.000Z
409,2020-04-30T00:00:00.000Z
657,2020-05-01T00:00:00.000Z
273,2020-05-02T00:00:00.000Z
155,2020-05-03T00:00:00.000Z
374,2020-05-04T00:00:00.000Z
365,2020-05-05T00:00:00.000Z
223,2020-05-06T00:00:00.000Z
278,2020-05-07T00:00:00.000Z
309,2020-05-08T00:00:00.000Z
114,2020-05-09T00:00:00.000Z
131,2020-05-10T00:00:00.000Z
453,2020-05-11T00:00:00.000Z
215,2020-05-12T00:00:00.000Z
191,2020-05-13T00:00:00.000Z
255,2020-05-14T00:00:00.000Z
236,2020-05-15T00:00:00.000Z
67,2020-05-16T00:00:00.000Z
145,2020-05-17T00:00:00.000Z
305,2020-05-18T00:00:00.000Z
209,2020-05-19T00:00:00.000Z
133,2020-05-20T00:00:00.000Z
221,2020-05-21T00:00:00.000Z
176,2020-05-22T00:00:00.000Z
38,2020-05-23T00:00:00.000Z
123,2020-05-24T00:00:00.000Z
195,2020-05-25T00:00:00.000Z
106,2020-05-26T00:00:00.000Z
111,2020-05-27T00:00:00.000Z
160,2020-05-28T00:00:00.000Z
47,2020-05-29T00:00:00.000Z
36,2020-05-30T00:00:00.000Z
64,2020-05-31T00:00:00.000Z
123,2020-06-01T00:00:00.000Z
67,2020-06-02T00:00:00.000Z
63,2020-06-03T00:00:00.000Z
91,2020-06-04T00:00:00.000Z
65,2020-06-05T00:00:00.000Z
62,2020-06-06T00:00:00.000Z
85,2020-06-07T00:00:00.000Z
64,2020-06-08T00:00:00.000Z
75,2020-06-09T00:00:00.000Z
97,2020-06-10T00:00:00.000Z
98,2020-06-11T00:00:00.000Z
102,2020-06-12T00:00:00.000Z
65,2020-06-13T00:00:00.000Z
57,2020-06-14T00:00:00.000Z
96,2020-06-15T00:00:00.000Z
56,2020-06-16T00:00:00.000Z
77,2020-06-17T00:00:00.000Z
102,2020-06-18T00:00:00.000Z
75,2020-06-19T00:00:00.000Z
65,2020-06-20T00:00:00.000Z
48,2020-06-21T00:00:00.000Z
120,2020-06-22T00:00:00.000Z
147,2020-06-23T00:00:00.000Z
87,2020-06-24T00:00:00.000Z
154,2020-06-25T00:00:00.000Z
154,2020-06-26T00:00:00.000Z
104,2020-06-27T00:00:00.000Z
129,2020-06-28T00:00:00.000Z
221,2020-06-29T00:00:00.000Z
151,2020-06-30T00:00:00.000Z
158,2020-07-01T00:00:00.000Z
193,2020-07-02T00:00:00.000Z
165,2020-07-03T00:00:00.000Z
177,2020-07-04T00:00:00.000Z
218,2020-07-05T00:00:00.000Z
207,2020-07-06T00:00:00.000Z
216,2020-07-07T00:00:00.000Z
195,2020-07-08T00:00:00.000Z
271,2020-07-09T00:00:00.000Z
264,2020-07-10T00:00:00.000Z
282,2020-07-11T00:00:00.000Z
345,2020-07-12T00:00:00.000Z
410,2020-07-13T00:00:00.000Z
403,2020-07-14T00:00:00.000Z
530,2020-07-15T00:00:00.000Z
625,2020-07-16T00:00:00.000Z
608,2020-07-17T00:00:00.000Z
707,2020-07-18T00:00:00.000Z
583,2020-07-19T00:00:00.000Z
1056,2020-07-20T00:00:00.000Z
1385,2020-07-21T00:00:00.000Z
2686,2020-07-22T00:00:00.000Z
4951,2020-07-23T00:00:00.000Z
1529,2020-07-24T00:00:00.000Z
693,2020-07-25T00:00:00.000Z
2193,2020-07-26T00:00:00.000Z
1620,2020-07-27T00:00:00.000Z
1403,2020-07-28T00:00:00.000Z
1228,2020-07-29T00:00:00.000Z
746,2020-07-30T00:00:00.000Z
217,2020-07-31T00:00:00.000Z
83,2020-08-01T00:00:00.000Z
