amount,date,positiveAmount
120,1999-01-01T00:00:00.000Z,-1
3,2020-01-26T00:00:00.000Z,-1
1,2020-01-27T00:00:00.000Z,-1
3,2020-01-29T00:00:00.000Z,-1
4,2020-01-30T00:00:00.000Z,-1
7,2020-02-02T00:00:00.000Z,-1
7,2020-02-03T00:00:00.000Z,-1
6,2020-02-04T00:00:00.000Z,-1
40,2020-02-09T00:00:00.000Z,-1
28,2020-02-10T00:00:00.000Z,-1
50,2020-02-11T00:00:00.000Z,-1
35,2020-02-12T00:00:00.000Z,0
35,2020-02-13T00:00:00.000Z,0
30,2020-02-14T00:00:00.000Z,0
3,2020-02-15T00:00:00.000Z,0
23,2020-02-16T00:00:00.000Z,0
41,2020-02-17T00:00:00.000Z,0
46,2020-02-18T00:00:00.000Z,0
34,2020-02-19T00:00:00.000Z,0
29,2020-02-20T00:00:00.000Z,0
28,2020-02-21T00:00:00.000Z,1
9,2020-02-21T02:00:00.000Z,-1
13,2020-02-22T00:00:00.000Z,0
56,2020-02-23T00:00:00.000Z,0
75,2020-02-24T00:00:00.000Z,1
1,2020-02-24T02:00:00.000Z,-1
108,2020-02-25T00:00:00.000Z,0
108,2020-02-26T00:00:00.000Z,0
171,2020-02-27T00:00:00.000Z,1
118,2020-02-28T00:00:00.000Z,3
1,2020-02-28T02:00:00.000Z,-1
158,2020-02-29T00:00:00.000Z,0
1,2020-02-29T02:00:00.000Z,-1
188,2020-03-01T00:00:00.000Z,1
171,2020-03-02T00:00:00.000Z,5
235,2020-03-03T00:00:00.000Z,3
129,2020-03-04T00:00:00.000Z,0
173,2020-03-05T00:00:00.000Z,2
1,2020-03-05T02:00:00.000Z,-1
274,2020-03-06T00:00:00.000Z,4
1,2020-03-06T02:00:00.000Z,-1
336,2020-03-07T00:00:00.000Z,4
421,2020-03-08T00:00:00.000Z,9
518,2020-03-09T00:00:00.000Z,4
520,2020-03-10T00:00:00.000Z,33
401,2020-03-11T00:00:00.000Z,20
1,2020-03-11T02:00:00.000Z,-1
607,2020-03-12T00:00:00.000Z,21
1,2020-03-12T02:00:00.000Z,-1
696,2020-03-13T00:00:00.000Z,36
1,2020-03-13T02:00:00.000Z,-1
614,2020-03-14T00:00:00.000Z,29
1183,2020-03-15T00:00:00.000Z,38
1,2020-03-15T02:00:00.000Z,-1
1345,2020-03-16T00:00:00.000Z,73
1647,2020-03-17T00:00:00.000Z,94
2108,2020-03-18T00:00:00.000Z,118
2074,2020-03-19T00:00:00.000Z,135
2321,2020-03-20T00:00:00.000Z,168
2108,2020-03-21T00:00:00.000Z,210
3350,2020-03-22T00:00:00.000Z,254
3624,2020-03-23T00:00:00.000Z,351
4789,2020-03-24T00:00:00.000Z,423
5935,2020-03-25T00:00:00.000Z,425
6504,2020-03-26T00:00:00.000Z,520
5752,2020-03-27T00:00:00.000Z,434
5739,2020-03-28T00:00:00.000Z,480
7575,2020-03-29T00:00:00.000Z,532
7100,2020-03-30T00:00:00.000Z,546
7989,2020-03-31T00:00:00.000Z,738
9009,2020-04-01T00:00:00.000Z,696
10224,2020-04-02T00:00:00.000Z,719
10329,2020-04-03T00:00:00.000Z,598
6351,2020-04-04T00:00:00.000Z,427
9395,2020-04-05T00:00:00.000Z,582
7494,2020-04-06T00:00:00.000Z,451
6967,2020-04-07T00:00:00.000Z,378
5879,2020-04-08T00:00:00.000Z,338
5743,2020-04-09T00:00:00.000Z,343
7346,2020-04-10T00:00:00.000Z,359
6702,2020-04-11T00:00:00.000Z,344
10602,2020-04-12T00:00:00.000Z,554
10950,2020-04-13T00:00:00.000Z,438
12676,2020-04-14T00:00:00.000Z,399
9450,2020-04-15T00:00:00.000Z,311
12789,2020-04-16T00:00:00.000Z,296
11596,2020-04-17T00:00:00.000Z,298
10606,2020-04-18T00:00:00.000Z,291
11479,2020-04-19T00:00:00.000Z,277
15366,2020-04-20T00:00:00.000Z,299
13612,2020-04-21T00:00:00.000Z,283
13292,2020-04-22T00:00:00.000Z,225
14183,2020-04-23T00:00:00.000Z,276
12625,2020-04-24T00:00:00.000Z,248
9077,2020-04-25T00:00:00.000Z,159
8463,2020-04-26T00:00:00.000Z,83
11124,2020-04-27T00:00:00.000Z,117
10640,2020-04-28T00:00:00.000Z,160
8996,2020-04-29T00:00:00.000Z,82
9929,2020-04-30T00:00:00.000Z,142
11050,2020-05-01T00:00:00.000Z,117
5568,2020-05-02T00:00:00.000Z,57
8028,2020-05-03T00:00:00.000Z,27
9257,2020-05-04T00:00:00.000Z,53
8957,2020-05-05T00:00:00.000Z,32
9465,2020-05-06T00:00:00.000Z,65
10118,2020-05-07T00:00:00.000Z,61
8157,2020-05-08T00:00:00.000Z,33
3868,2020-05-09T00:00:00.000Z,19
4944,2020-05-10T00:00:00.000Z,29
9217,2020-05-11T00:00:00.000Z,39
7536,2020-05-12T00:00:00.000Z,23
8262,2020-05-13T00:00:00.000Z,37
8408,2020-05-14T00:00:00.000Z,22
5694,2020-05-15T00:00:00.000Z,12
1502,2020-05-16T00:00:00.000Z,5
4634,2020-05-17T00:00:00.000Z,15
7691,2020-05-18T00:00:00.000Z,27
7135,2020-05-19T00:00:00.000Z,22
5966,2020-05-20T00:00:00.000Z,15
6158,2020-05-21T00:00:00.000Z,17
4996,2020-05-22T00:00:00.000Z,20
717,2020-05-23T00:00:00.000Z,5
3809,2020-05-24T00:00:00.000Z,13
5331,2020-05-25T00:00:00.000Z,22
6811,2020-05-26T00:00:00.000Z,50
6715,2020-05-27T00:00:00.000Z,40
5354,2020-05-28T00:00:00.000Z,77
1863,2020-05-29T00:00:00.000Z,113
1058,2020-05-30T00:00:00.000Z,28
5641,2020-05-31T00:00:00.000Z,88
8156,2020-06-01T00:00:00.000Z,100
11757,2020-06-02T00:00:00.000Z,121
13206,2020-06-03T00:00:00.000Z,96
14794,2020-06-04T00:00:00.000Z,141
16436,2020-06-05T00:00:00.000Z,124
11537,2020-06-06T00:00:00.000Z,78
15097,2020-06-07T00:00:00.000Z,140
14566,2020-06-08T00:00:00.000Z,178
15051,2020-06-09T00:00:00.000Z,173
18481,2020-06-10T00:00:00.000Z,237
15734,2020-06-11T00:00:00.000Z,191
13004,2020-06-12T00:00:00.000Z,183
6979,2020-06-13T00:00:00.000Z,149
8838,2020-06-14T00:00:00.000Z,136
