section,female,male,period
0-9,"{'amount': 1, 'percentage': 0.8}","{'amount': 1, 'percentage': 0.8}",חודש אחרון
0-9,"{'amount': 11, 'percentage': 0.6}","{'amount': 20, 'percentage': 1}",שנה
0-9,"{'amount': 18, 'percentage': 0.3}","{'amount': 35, 'percentage': 0.5}",מתחילת קורונה
0-9,"{'amount': 2, 'percentage': 0.4}","{'amount': 4, 'percentage': 0.7}",6 חודשים
0-9,"{'amount': 1, 'percentage': 0.3}","{'amount': 1, 'percentage': 0.3}",3 חודשים
10-19,"{'amount': 1, 'percentage': 0.8}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 9, 'percentage': 0.5}","{'amount': 11, 'percentage': 0.6}",שנה
10-19,"{'amount': 1, 'percentage': 0.3}","{'amount': 0, 'percentage': 0}",3 חודשים
10-19,"{'amount': 1, 'percentage': 0.2}","{'amount': 1, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 24, 'percentage': 0.4}","{'amount': 25, 'percentage': 0.4}",מתחילת קורונה
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 17, 'percentage': 0.9}","{'amount': 17, 'percentage': 0.9}",שנה
20-29,"{'amount': 4, 'percentage': 0.7}","{'amount': 6, 'percentage': 1.1}",6 חודשים
20-29,"{'amount': 2, 'percentage': 0.7}","{'amount': 3, 'percentage': 1}",3 חודשים
20-29,"{'amount': 64, 'percentage': 0.9}","{'amount': 61, 'percentage': 0.9}",מתחילת קורונה
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
30-39,"{'amount': 25, 'percentage': 1.3}","{'amount': 30, 'percentage': 1.5}",שנה
30-39,"{'amount': 115, 'percentage': 1.7}","{'amount': 109, 'percentage': 1.6}",מתחילת קורונה
30-39,"{'amount': 8, 'percentage': 1.4}","{'amount': 5, 'percentage': 0.9}",6 חודשים
30-39,"{'amount': 2, 'percentage': 0.7}","{'amount': 3, 'percentage': 1}",3 חודשים
40-49,"{'amount': 1, 'percentage': 0.8}","{'amount': 0, 'percentage': 0}",חודש אחרון
40-49,"{'amount': 24, 'percentage': 1.2}","{'amount': 47, 'percentage': 2.4}",שנה
40-49,"{'amount': 146, 'percentage': 2.1}","{'amount': 272, 'percentage': 4}",מתחילת קורונה
40-49,"{'amount': 6, 'percentage': 1.1}","{'amount': 5, 'percentage': 0.9}",6 חודשים
40-49,"{'amount': 3, 'percentage': 1}","{'amount': 1, 'percentage': 0.3}",3 חודשים
50-59,"{'amount': 4, 'percentage': 3.1}","{'amount': 9, 'percentage': 7.1}",חודש אחרון
50-59,"{'amount': 69, 'percentage': 3.5}","{'amount': 125, 'percentage': 6.3}",שנה
50-59,"{'amount': 8, 'percentage': 2.7}","{'amount': 16, 'percentage': 5.5}",3 חודשים
50-59,"{'amount': 18, 'percentage': 3.2}","{'amount': 31, 'percentage': 5.5}",6 חודשים
50-59,"{'amount': 278, 'percentage': 4.1}","{'amount': 580, 'percentage': 8.5}",מתחילת קורונה
60-69,"{'amount': 12, 'percentage': 9.4}","{'amount': 11, 'percentage': 8.7}",חודש אחרון
60-69,"{'amount': 132, 'percentage': 6.6}","{'amount': 241, 'percentage': 12.1}",שנה
60-69,"{'amount': 38, 'percentage': 6.7}","{'amount': 68, 'percentage': 12}",6 חודשים
60-69,"{'amount': 22, 'percentage': 7.6}","{'amount': 28, 'percentage': 9.6}",3 חודשים
60-69,"{'amount': 550, 'percentage': 8.1}","{'amount': 1022, 'percentage': 15}",מתחילת קורונה
70-79,"{'amount': 20, 'percentage': 15.7}","{'amount': 17, 'percentage': 13.4}",חודש אחרון
70-79,"{'amount': 35, 'percentage': 12}","{'amount': 55, 'percentage': 18.9}",3 חודשים
70-79,"{'amount': 212, 'percentage': 10.6}","{'amount': 354, 'percentage': 17.7}",שנה
70-79,"{'amount': 66, 'percentage': 11.6}","{'amount': 101, 'percentage': 17.8}",6 חודשים
70-79,"{'amount': 666, 'percentage': 9.8}","{'amount': 1164, 'percentage': 17.1}",מתחילת קורונה
80-89,"{'amount': 13, 'percentage': 10.2}","{'amount': 21, 'percentage': 16.5}",חודש אחרון
80-89,"{'amount': 213, 'percentage': 10.7}","{'amount': 273, 'percentage': 13.7}",שנה
80-89,"{'amount': 66, 'percentage': 11.6}","{'amount': 85, 'percentage': 15}",6 חודשים
80-89,"{'amount': 32, 'percentage': 11}","{'amount': 44, 'percentage': 15.1}",3 חודשים
80-89,"{'amount': 560, 'percentage': 8.2}","{'amount': 750, 'percentage': 11}",מתחילת קורונה
90+,"{'amount': 4, 'percentage': 3.1}","{'amount': 12, 'percentage': 9.4}",חודש אחרון
90+,"{'amount': 79, 'percentage': 4}","{'amount': 87, 'percentage': 4.4}",שנה
90+,"{'amount': 23, 'percentage': 4.1}","{'amount': 29, 'percentage': 5.1}",6 חודשים
90+,"{'amount': 14, 'percentage': 4.8}","{'amount': 20, 'percentage': 6.9}",3 חודשים
90+,"{'amount': 173, 'percentage': 2.5}","{'amount': 183, 'percentage': 2.7}",מתחילת קורונה
