section,male,female,period
0-9,"{'amount': 5, 'percentage': 0.1}","{'amount': 9, 'percentage': 0.3}",שנה
0-9,"{'amount': 7, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.2}",מתחילת קורונה
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.5}",3 חודשים
0-9,"{'amount': 3, 'percentage': 0.2}","{'amount': 6, 'percentage': 0.3}",6 חודשים
10-19,"{'amount': 4, 'percentage': 0.2}","{'amount': 3, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 12, 'percentage': 0.3}","{'amount': 8, 'percentage': 0.2}",מתחילת קורונה
10-19,"{'amount': 2, 'percentage': 0.5}","{'amount': 1, 'percentage': 0.3}",3 חודשים
10-19,"{'amount': 10, 'percentage': 0.3}","{'amount': 7, 'percentage': 0.2}",שנה
20-29,"{'amount': 7, 'percentage': 1.9}","{'amount': 3, 'percentage': 0.8}",3 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 28, 'percentage': 0.8}","{'amount': 33, 'percentage': 1}",שנה
20-29,"{'amount': 31, 'percentage': 0.8}","{'amount': 36, 'percentage': 1}",מתחילת קורונה
20-29,"{'amount': 22, 'percentage': 1.2}","{'amount': 19, 'percentage': 1}",6 חודשים
30-39,"{'amount': 58, 'percentage': 1.6}","{'amount': 67, 'percentage': 1.8}",מתחילת קורונה
30-39,"{'amount': 47, 'percentage': 1.4}","{'amount': 61, 'percentage': 1.8}",שנה
30-39,"{'amount': 2, 'percentage': 4.1}","{'amount': 3, 'percentage': 6.1}",חודש אחרון
30-39,"{'amount': 6, 'percentage': 1.6}","{'amount': 20, 'percentage': 5.4}",3 חודשים
30-39,"{'amount': 31, 'percentage': 1.7}","{'amount': 47, 'percentage': 2.5}",6 חודשים
40-49,"{'amount': 92, 'percentage': 4.9}","{'amount': 49, 'percentage': 2.6}",6 חודשים
40-49,"{'amount': 26, 'percentage': 7.1}","{'amount': 10, 'percentage': 2.7}",3 חודשים
40-49,"{'amount': 5, 'percentage': 10.2}","{'amount': 1, 'percentage': 2}",חודש אחרון
40-49,"{'amount': 147, 'percentage': 4.3}","{'amount': 78, 'percentage': 2.3}",שנה
40-49,"{'amount': 159, 'percentage': 4.3}","{'amount': 83, 'percentage': 2.2}",מתחילת קורונה
50-59,"{'amount': 52, 'percentage': 14.1}","{'amount': 30, 'percentage': 8.2}",3 חודשים
50-59,"{'amount': 7, 'percentage': 14.3}","{'amount': 7, 'percentage': 14.3}",חודש אחרון
50-59,"{'amount': 323, 'percentage': 9.5}","{'amount': 140, 'percentage': 4.1}",שנה
50-59,"{'amount': 355, 'percentage': 9.6}","{'amount': 145, 'percentage': 3.9}",מתחילת קורונה
50-59,"{'amount': 194, 'percentage': 10.4}","{'amount': 83, 'percentage': 4.4}",6 חודשים
60-69,"{'amount': 298, 'percentage': 15.9}","{'amount': 158, 'percentage': 8.5}",6 חודשים
60-69,"{'amount': 45, 'percentage': 12.2}","{'amount': 37, 'percentage': 10.1}",3 חודשים
60-69,"{'amount': 5, 'percentage': 10.2}","{'amount': 4, 'percentage': 8.2}",חודש אחרון
60-69,"{'amount': 630, 'percentage': 17}","{'amount': 284, 'percentage': 7.7}",מתחילת קורונה
60-69,"{'amount': 578, 'percentage': 17}","{'amount': 271, 'percentage': 8}",שנה
70-79,"{'amount': 300, 'percentage': 16.1}","{'amount': 183, 'percentage': 9.8}",6 חודשים
70-79,"{'amount': 4, 'percentage': 8.2}","{'amount': 5, 'percentage': 10.2}",חודש אחרון
70-79,"{'amount': 675, 'percentage': 18.2}","{'amount': 339, 'percentage': 9.1}",מתחילת קורונה
70-79,"{'amount': 616, 'percentage': 18.1}","{'amount': 318, 'percentage': 9.3}",שנה
70-79,"{'amount': 36, 'percentage': 9.8}","{'amount': 42, 'percentage': 11.4}",3 חודשים
80-89,"{'amount': 389, 'percentage': 10.5}","{'amount': 268, 'percentage': 7.2}",מתחילת קורונה
80-89,"{'amount': 173, 'percentage': 9.3}","{'amount': 138, 'percentage': 7.4}",6 חודשים
80-89,"{'amount': 2, 'percentage': 4.1}","{'amount': 3, 'percentage': 6.1}",חודש אחרון
80-89,"{'amount': 24, 'percentage': 6.5}","{'amount': 17, 'percentage': 4.6}",3 חודשים
80-89,"{'amount': 352, 'percentage': 10.3}","{'amount': 247, 'percentage': 7.3}",שנה
90+,"{'amount': 81, 'percentage': 2.2}","{'amount': 72, 'percentage': 1.9}",מתחילת קורונה
90+,"{'amount': 33, 'percentage': 1.8}","{'amount': 33, 'percentage': 1.8}",6 חודשים
90+,"{'amount': 4, 'percentage': 1.1}","{'amount': 4, 'percentage': 1.1}",3 חודשים
90+,"{'amount': 1, 'percentage': 2}","{'amount': 0, 'percentage': 0}",חודש אחרון
90+,"{'amount': 69, 'percentage': 2}","{'amount': 63, 'percentage': 1.9}",שנה
