section,female,male,period
0-9,"{'amount': 23, 'percentage': 0.6}","{'amount': 30, 'percentage': 0.8}",3 חודשים
0-9,"{'amount': 55, 'percentage': 0.5}","{'amount': 80, 'percentage': 0.7}",שנה
0-9,"{'amount': 37, 'percentage': 0.5}","{'amount': 54, 'percentage': 0.8}",6 חודשים
0-9,"{'amount': 4, 'percentage': 0.6}","{'amount': 5, 'percentage': 0.8}",חודש אחרון
0-9,"{'amount': 73, 'percentage': 0.3}","{'amount': 111, 'percentage': 0.4}",מתחילת קורונה
10-19,"{'amount': 9, 'percentage': 0.2}","{'amount': 10, 'percentage': 0.3}",3 חודשים
10-19,"{'amount': 1, 'percentage': 0.2}","{'amount': 1, 'percentage': 0.2}",חודש אחרון
10-19,"{'amount': 77, 'percentage': 0.3}","{'amount': 77, 'percentage': 0.3}",מתחילת קורונה
10-19,"{'amount': 34, 'percentage': 0.3}","{'amount': 42, 'percentage': 0.3}",שנה
10-19,"{'amount': 16, 'percentage': 0.2}","{'amount': 26, 'percentage': 0.4}",6 חודשים
20-29,"{'amount': 10, 'percentage': 0.3}","{'amount': 20, 'percentage': 0.5}",3 חודשים
20-29,"{'amount': 98, 'percentage': 0.8}","{'amount': 90, 'percentage': 0.7}",שנה
20-29,"{'amount': 28, 'percentage': 0.4}","{'amount': 41, 'percentage': 0.6}",6 חודשים
20-29,"{'amount': 1, 'percentage': 0.2}","{'amount': 3, 'percentage': 0.5}",חודש אחרון
20-29,"{'amount': 271, 'percentage': 0.9}","{'amount': 241, 'percentage': 0.8}",מתחילת קורונה
30-39,"{'amount': 35, 'percentage': 0.9}","{'amount': 33, 'percentage': 0.8}",3 חודשים
30-39,"{'amount': 229, 'percentage': 1.9}","{'amount': 212, 'percentage': 1.8}",שנה
30-39,"{'amount': 74, 'percentage': 1.1}","{'amount': 63, 'percentage': 0.9}",6 חודשים
30-39,"{'amount': 8, 'percentage': 1.3}","{'amount': 6, 'percentage': 1}",חודש אחרון
30-39,"{'amount': 598, 'percentage': 2.1}","{'amount': 620, 'percentage': 2.2}",מתחילת קורונה
40-49,"{'amount': 42, 'percentage': 1.1}","{'amount': 78, 'percentage': 2}",3 חודשים
40-49,"{'amount': 333, 'percentage': 2.8}","{'amount': 464, 'percentage': 3.8}",שנה
40-49,"{'amount': 91, 'percentage': 1.3}","{'amount': 149, 'percentage': 2.2}",6 חודשים
40-49,"{'amount': 5, 'percentage': 0.8}","{'amount': 11, 'percentage': 1.8}",חודש אחרון
40-49,"{'amount': 966, 'percentage': 3.4}","{'amount': 1397, 'percentage': 4.9}",מתחילת קורונה
50-59,"{'amount': 99, 'percentage': 2.5}","{'amount': 173, 'percentage': 4.4}",3 חודשים
50-59,"{'amount': 11, 'percentage': 1.8}","{'amount': 20, 'percentage': 3.2}",חודש אחרון
50-59,"{'amount': 1564, 'percentage': 5.4}","{'amount': 2222, 'percentage': 7.7}",מתחילת קורונה
50-59,"{'amount': 529, 'percentage': 4.4}","{'amount': 706, 'percentage': 5.9}",שנה
50-59,"{'amount': 207, 'percentage': 3}","{'amount': 305, 'percentage': 4.5}",6 חודשים
60-69,"{'amount': 438, 'percentage': 6.4}","{'amount': 596, 'percentage': 8.8}",6 חודשים
60-69,"{'amount': 262, 'percentage': 6.7}","{'amount': 337, 'percentage': 8.6}",3 חודשים
60-69,"{'amount': 880, 'percentage': 7.3}","{'amount': 1164, 'percentage': 9.7}",שנה
60-69,"{'amount': 39, 'percentage': 6.2}","{'amount': 44, 'percentage': 7}",חודש אחרון
60-69,"{'amount': 2207, 'percentage': 7.7}","{'amount': 3255, 'percentage': 11.3}",מתחילת קורונה
70-79,"{'amount': 2766, 'percentage': 9.6}","{'amount': 3645, 'percentage': 12.7}",מתחילת קורונה
70-79,"{'amount': 417, 'percentage': 10.6}","{'amount': 552, 'percentage': 14.1}",3 חודשים
70-79,"{'amount': 1202, 'percentage': 10}","{'amount': 1533, 'percentage': 12.7}",שנה
70-79,"{'amount': 55, 'percentage': 8.8}","{'amount': 98, 'percentage': 15.6}",חודש אחרון
70-79,"{'amount': 714, 'percentage': 10.5}","{'amount': 942, 'percentage': 13.9}",6 חודשים
80-89,"{'amount': 589, 'percentage': 15}","{'amount': 602, 'percentage': 15.3}",3 חודשים
80-89,"{'amount': 1563, 'percentage': 13}","{'amount': 1504, 'percentage': 12.5}",שנה
80-89,"{'amount': 1044, 'percentage': 15.4}","{'amount': 1001, 'percentage': 14.7}",6 חודשים
80-89,"{'amount': 98, 'percentage': 15.6}","{'amount': 87, 'percentage': 13.9}",חודש אחרון
80-89,"{'amount': 3139, 'percentage': 10.9}","{'amount': 3015, 'percentage': 10.5}",מתחילת קורונה
90+,"{'amount': 326, 'percentage': 8.3}","{'amount': 278, 'percentage': 7.1}",3 חודשים
90+,"{'amount': 798, 'percentage': 6.6}","{'amount': 543, 'percentage': 4.5}",שנה
90+,"{'amount': 551, 'percentage': 8.1}","{'amount': 421, 'percentage': 6.2}",6 חודשים
90+,"{'amount': 70, 'percentage': 11.1}","{'amount': 61, 'percentage': 9.7}",חודש אחרון
90+,"{'amount': 1514, 'percentage': 5.3}","{'amount': 1018, 'percentage': 3.5}",מתחילת קורונה
