date,amount,recovered,avg,sum,coronaEvents,recovered_cum
2020-02-12T00:00:00.000Z,0,0,7,7,,103
2020-02-13T00:00:00.000Z,0,0,3,7,,103
2020-02-14T00:00:00.000Z,0,0,2,7,,103
2020-02-15T00:00:00.000Z,0,0,1,7,,103
2020-02-16T00:00:00.000Z,0,0,1,7,,103
2020-02-17T00:00:00.000Z,0,0,1,7,,103
2020-02-18T00:00:00.000Z,0,0,1,7,,103
2020-02-19T00:00:00.000Z,0,0,0,7,,103
2020-02-20T00:00:00.000Z,0,1,0,7,,104
2020-02-21T00:00:00.000Z,1,0,0,8,,104
2020-02-22T00:00:00.000Z,0,0,0,8,,104
2020-02-23T00:00:00.000Z,0,0,0,8,,104
2020-02-24T00:00:00.000Z,1,0,0,9,,104
2020-02-25T00:00:00.000Z,0,0,0,9,,104
2020-02-26T00:00:00.000Z,0,0,0,9,,104
2020-02-27T00:00:00.000Z,1,0,0,10,,104
2020-02-28T00:00:00.000Z,3,0,0,13,,104
2020-02-29T00:00:00.000Z,0,0,0,13,,104
2020-03-01T00:00:00.000Z,1,0,0,14,,104
2020-03-02T00:00:00.000Z,5,0,0,19,,104
2020-03-03T00:00:00.000Z,3,0,1,22,,104
2020-03-04T00:00:00.000Z,0,0,1,22,,104
2020-03-05T00:00:00.000Z,9,0,1,31,,104
2020-03-06T00:00:00.000Z,4,0,3,35,,104
2020-03-07T00:00:00.000Z,4,0,3,39,,104
2020-03-08T00:00:00.000Z,9,0,3,48,,104
2020-03-09T00:00:00.000Z,4,0,4,52,,104
2020-03-10T00:00:00.000Z,33,0,4,85,,104
2020-03-11T00:00:00.000Z,19,0,9,104,,104
2020-03-12T00:00:00.000Z,22,0,11,126,,104
2020-03-13T00:00:00.000Z,35,1,13,161,,105
2020-03-14T00:00:00.000Z,29,0,18,190,סגר ראשון ,105
2020-03-15T00:00:00.000Z,40,0,21,230,,105
2020-03-16T00:00:00.000Z,73,0,26,303,,105
2020-03-17T00:00:00.000Z,94,2,35,397,,107
2020-03-18T00:00:00.000Z,125,2,44,522,,109
2020-03-19T00:00:00.000Z,136,4,59,658,,113
2020-03-20T00:00:00.000Z,168,1,76,826,,114
2020-03-21T00:00:00.000Z,209,0,95,1035,,114
2020-03-22T00:00:00.000Z,252,5,120,1287,,119
2020-03-23T00:00:00.000Z,350,6,151,1637,,125
2020-03-24T00:00:00.000Z,421,5,190,2058,,130
2020-03-25T00:00:00.000Z,424,6,237,2482,,136
2020-03-26T00:00:00.000Z,519,10,280,3001,,146
2020-03-27T00:00:00.000Z,432,18,334,3433,,164
2020-03-28T00:00:00.000Z,476,9,372,3909,,173
2020-03-29T00:00:00.000Z,529,14,410,4438,,187
2020-03-30T00:00:00.000Z,551,33,450,4989,,220
2020-03-31T00:00:00.000Z,737,43,478,5726,,263
2020-04-01T00:00:00.000Z,694,32,524,6420,,295
2020-04-02T00:00:00.000Z,724,79,562,7144,,374
2020-04-03T00:00:00.000Z,599,55,591,7743,,429
2020-04-04T00:00:00.000Z,428,53,615,8171,,482
2020-04-05T00:00:00.000Z,584,101,608,8755,,583
2020-04-06T00:00:00.000Z,449,119,616,9204,,702
2020-04-07T00:00:00.000Z,376,120,602,9580,,822
2020-04-08T00:00:00.000Z,340,107,550,9920,,929
2020-04-09T00:00:00.000Z,340,111,500,10260,,1040
2020-04-10T00:00:00.000Z,356,127,445,10616,,1167
2020-04-11T00:00:00.000Z,342,121,410,10958,,1288
2020-04-12T00:00:00.000Z,551,258,398,11509,,1546
2020-04-13T00:00:00.000Z,437,280,393,11946,,1826
2020-04-14T00:00:00.000Z,394,288,391,12340,,2114
2020-04-15T00:00:00.000Z,305,280,394,12645,,2394
2020-04-16T00:00:00.000Z,296,328,389,12941,,2722
2020-04-17T00:00:00.000Z,297,357,383,13238,,3079
2020-04-18T00:00:00.000Z,288,249,374,13526,,3328
2020-04-19T00:00:00.000Z,274,381,366,13800,פתיחת משק חלקית לאחר סגר ראשון,3709
2020-04-20T00:00:00.000Z,297,449,327,14097,,4158
2020-04-21T00:00:00.000Z,279,373,307,14376,,4531
2020-04-22T00:00:00.000Z,226,391,290,14602,,4922
2020-04-23T00:00:00.000Z,275,331,279,14877,,5253
2020-04-24T00:00:00.000Z,249,337,276,15126,,5590
2020-04-25T00:00:00.000Z,159,376,269,15285,,5966
2020-04-26T00:00:00.000Z,82,432,251,15367,,6398
2020-04-27T00:00:00.000Z,127,469,223,15494,,6867
2020-04-28T00:00:00.000Z,161,565,199,15655,,7432
2020-04-29T00:00:00.000Z,82,352,182,15737,,7784
2020-04-30T00:00:00.000Z,143,426,162,15880,,8210
2020-05-01T00:00:00.000Z,116,424,143,15996,,8634
2020-05-02T00:00:00.000Z,57,279,124,16053,,8913
2020-05-03T00:00:00.000Z,27,287,109,16080,,9200
2020-05-04T00:00:00.000Z,55,259,101,16135,,9459
2020-05-05T00:00:00.000Z,33,318,91,16168,,9777
2020-05-06T00:00:00.000Z,65,261,73,16233,,10038
2020-05-07T00:00:00.000Z,61,226,70,16294,,10264
2020-05-08T00:00:00.000Z,33,222,59,16327,,10486
2020-05-09T00:00:00.000Z,20,91,47,16347,,10577
2020-05-10T00:00:00.000Z,29,168,42,16376,,10745
2020-05-11T00:00:00.000Z,39,329,42,16415,,11074
2020-05-12T00:00:00.000Z,23,258,40,16438,,11332
2020-05-13T00:00:00.000Z,39,177,38,16477,,11509
2020-05-14T00:00:00.000Z,22,240,34,16499,,11749
2020-05-15T00:00:00.000Z,12,160,29,16511,,11909
2020-05-16T00:00:00.000Z,5,102,26,16516,,12011
2020-05-17T00:00:00.000Z,15,151,24,16531,,12162
2020-05-18T00:00:00.000Z,27,275,22,16558,,12437
2020-05-19T00:00:00.000Z,22,153,20,16580,,12590
2020-05-20T00:00:00.000Z,15,110,20,16595,,12700
2020-05-21T00:00:00.000Z,18,122,16,16613,,12822
2020-05-22T00:00:00.000Z,19,162,16,16632,,12984
2020-05-23T00:00:00.000Z,5,44,17,16637,,13028
2020-05-24T00:00:00.000Z,13,115,17,16650,,13143
2020-05-25T00:00:00.000Z,22,132,17,16672,,13275
2020-05-26T00:00:00.000Z,50,91,16,16722,,13366
2020-05-27T00:00:00.000Z,40,60,20,16762,פתיחת משק מלאה לאחר סגר ראשון,13426
2020-05-28T00:00:00.000Z,77,113,23,16839,,13539
2020-05-29T00:00:00.000Z,113,39,32,16952,,13578
2020-05-30T00:00:00.000Z,29,41,45,16981,,13619
2020-05-31T00:00:00.000Z,87,61,49,17068,,13680
2020-06-01T00:00:00.000Z,100,68,59,17168,,13748
2020-06-02T00:00:00.000Z,121,53,70,17289,,13801
2020-06-03T00:00:00.000Z,96,27,81,17385,,13828
2020-06-04T00:00:00.000Z,142,42,89,17527,,13870
2020-06-05T00:00:00.000Z,127,37,98,17654,,13907
2020-06-06T00:00:00.000Z,78,24,100,17732,,13931
2020-06-07T00:00:00.000Z,140,42,107,17872,,13973
2020-06-08T00:00:00.000Z,179,39,114,18051,,14012
2020-06-09T00:00:00.000Z,174,46,126,18225,,14058
2020-06-10T00:00:00.000Z,241,52,133,18466,,14110
2020-06-11T00:00:00.000Z,192,55,154,18658,,14165
2020-06-12T00:00:00.000Z,184,54,161,18842,,14219
2020-06-13T00:00:00.000Z,149,41,169,18991,,14260
2020-06-14T00:00:00.000Z,137,50,179,19128,,14310
2020-06-15T00:00:00.000Z,200,89,179,19328,,14399
2020-06-16T00:00:00.000Z,298,51,182,19626,,14450
2020-06-17T00:00:00.000Z,270,48,200,19896,,14498
2020-06-18T00:00:00.000Z,303,50,204,20199,,14548
2020-06-19T00:00:00.000Z,311,57,220,20510,,14605
2020-06-20T00:00:00.000Z,160,37,238,20670,,14642
2020-06-21T00:00:00.000Z,174,50,239,20844,,14692
2020-06-22T00:00:00.000Z,344,60,245,21188,,14752
2020-06-23T00:00:00.000Z,452,85,265,21640,,14837
2020-06-24T00:00:00.000Z,486,72,287,22126,,14909
2020-06-25T00:00:00.000Z,516,77,318,22642,,14986
2020-06-26T00:00:00.000Z,464,130,349,23106,,15116
2020-06-27T00:00:00.000Z,397,50,370,23503,,15166
2020-06-28T00:00:00.000Z,383,140,404,23886,,15306
2020-06-29T00:00:00.000Z,759,166,434,24645,,15472
2020-06-30T00:00:00.000Z,789,127,493,25434,,15599
2020-07-01T00:00:00.000Z,968,99,542,26402,,15698
2020-07-02T00:00:00.000Z,1154,125,610,27556,,15823
2020-07-03T00:00:00.000Z,941,119,702,28497,,15942
2020-07-04T00:00:00.000Z,821,76,770,29318,,16018
2020-07-05T00:00:00.000Z,825,143,830,30143,,16161
2020-07-06T00:00:00.000Z,1129,196,893,31272,,16357
2020-07-07T00:00:00.000Z,1383,175,946,32655,,16532
2020-07-08T00:00:00.000Z,1328,226,1031,33983,,16758
2020-07-09T00:00:00.000Z,1522,225,1083,35505,,16983
2020-07-10T00:00:00.000Z,1407,212,1135,36912,,17195
2020-07-11T00:00:00.000Z,1169,191,1202,38081,,17386
2020-07-12T00:00:00.000Z,1236,336,1251,39317,,17722
2020-07-13T00:00:00.000Z,1718,362,1310,41035,,18084
2020-07-14T00:00:00.000Z,1600,314,1394,42635,,18398
2020-07-15T00:00:00.000Z,1873,361,1425,44508,,18759
2020-07-16T00:00:00.000Z,1936,508,1503,46444,,19267
2020-07-17T00:00:00.000Z,1602,481,1562,48046,,19748
2020-07-18T00:00:00.000Z,1445,448,1590,49491,,20196
2020-07-19T00:00:00.000Z,1016,518,1630,50507,,20714
2020-07-20T00:00:00.000Z,1885,627,1598,52392,,21341
2020-07-21T00:00:00.000Z,2004,641,1622,54396,,21982
2020-07-22T00:00:00.000Z,2041,3724,1680,56437,,25706
2020-07-23T00:00:00.000Z,1989,6745,1704,58426,,32451
2020-07-24T00:00:00.000Z,1824,1596,1711,60250,,34047
2020-07-25T00:00:00.000Z,1110,589,1743,61360,,34636
2020-07-26T00:00:00.000Z,1040,2736,1695,62400,,37372
2020-07-27T00:00:00.000Z,2047,1764,1699,64447,,39136
2020-07-28T00:00:00.000Z,2121,1551,1722,66568,,40687
2020-07-29T00:00:00.000Z,1956,1400,1738,68524,,42087
2020-07-30T00:00:00.000Z,1786,1682,1726,70310,,43769
2020-07-31T00:00:00.000Z,1360,1299,1697,71670,,45068
2020-08-01T00:00:00.000Z,623,536,1631,72293,,45604
2020-08-02T00:00:00.000Z,708,2437,1561,73001,,48041
2020-08-03T00:00:00.000Z,1799,1797,1514,74800,,49838
2020-08-04T00:00:00.000Z,1726,1649,1479,76526,,51487
2020-08-05T00:00:00.000Z,1686,1482,1422,78212,,52969
2020-08-06T00:00:00.000Z,1675,1751,1384,79887,,54720
2020-08-07T00:00:00.000Z,1762,1213,1368,81649,,55933
2020-08-08T00:00:00.000Z,755,608,1425,82404,,56541
2020-08-09T00:00:00.000Z,923,2335,1444,83327,,58876
2020-08-10T00:00:00.000Z,1697,1397,1475,85024,,60273
2020-08-11T00:00:00.000Z,1823,985,1460,86847,,61258
2020-08-12T00:00:00.000Z,1617,1137,1474,88464,,62395
2020-08-13T00:00:00.000Z,1641,1310,1464,90105,,63705
2020-08-14T00:00:00.000Z,1389,986,1459,91494,,64691
2020-08-15T00:00:00.000Z,754,567,1406,92248,,65258
2020-08-16T00:00:00.000Z,1069,2223,1406,93317,,67481
2020-08-17T00:00:00.000Z,1651,1193,1427,94968,,68674
2020-08-18T00:00:00.000Z,1648,1117,1420,96616,,69791
2020-08-19T00:00:00.000Z,1639,1479,1395,98255,,71270
2020-08-20T00:00:00.000Z,1485,1433,1398,99740,,72703
2020-08-21T00:00:00.000Z,1492,1040,1376,101232,,73743
2020-08-22T00:00:00.000Z,710,666,1391,101942,,74409
2020-08-23T00:00:00.000Z,964,2122,1384,102906,,76531
2020-08-24T00:00:00.000Z,1901,1404,1369,104807,,77935
2020-08-25T00:00:00.000Z,1958,798,1405,106765,,78733
2020-08-26T00:00:00.000Z,1984,3643,1449,108749,,82376
2020-08-27T00:00:00.000Z,2106,1514,1499,110855,,83890
2020-08-28T00:00:00.000Z,1833,1832,1587,112688,,85722
2020-08-29T00:00:00.000Z,909,711,1636,113597,,86433
2020-08-30T00:00:00.000Z,1100,2266,1665,114697,,88699
2020-08-31T00:00:00.000Z,2171,1473,1684,116868,,90172
2020-09-01T00:00:00.000Z,2253,1009,1723,119121,,91181
2020-09-02T00:00:00.000Z,3194,1401,1765,122315,,92582
2020-09-03T00:00:00.000Z,2664,1801,1938,124979,,94383
2020-09-04T00:00:00.000Z,2623,1193,2017,127602,,95576
2020-09-05T00:00:00.000Z,1504,886,2130,129106,,96462
2020-09-06T00:00:00.000Z,2174,2403,2215,131280,,98865
2020-09-07T00:00:00.000Z,3386,1597,2369,134666,,100462
2020-09-08T00:00:00.000Z,3487,1431,2542,138153,,101893
2020-09-09T00:00:00.000Z,3991,1464,2718,142144,,103357
2020-09-10T00:00:00.000Z,4158,1977,2832,146302,,105334
2020-09-11T00:00:00.000Z,3971,1775,3046,150273,,107109
2020-09-12T00:00:00.000Z,2716,1266,3238,152989,,108375
2020-09-13T00:00:00.000Z,3172,3275,3411,156161,,111650
2020-09-14T00:00:00.000Z,4803,2402,3554,160964,,114052
2020-09-15T00:00:00.000Z,5528,2273,3756,166492,,116325
2020-09-16T00:00:00.000Z,4568,2794,4048,171060,,119119
2020-09-17T00:00:00.000Z,5378,3720,4130,176438,,122839
2020-09-18T00:00:00.000Z,5332,2850,4305,181770,סגר שני,125689
2020-09-19T00:00:00.000Z,3809,1444,4499,185579,,127133
2020-09-20T00:00:00.000Z,2576,2480,4655,188155,,129613
2020-09-21T00:00:00.000Z,3869,4666,4570,192024,,134279
2020-09-22T00:00:00.000Z,7020,3511,4437,199044,,137790
2020-09-23T00:00:00.000Z,7140,3821,4650,206184,,141611
2020-09-24T00:00:00.000Z,8260,4597,5017,214444,,146208
2020-09-25T00:00:00.000Z,8386,4150,5429,222830,,150358
2020-09-26T00:00:00.000Z,5880,2396,5865,228710,,152754
2020-09-27T00:00:00.000Z,3435,5700,6161,232145,,158454
2020-09-28T00:00:00.000Z,1154,2173,6284,233299,,160627
2020-09-29T00:00:00.000Z,4989,5791,5896,238288,,166418
2020-09-30T00:00:00.000Z,9050,5160,5606,247338,,171578
2020-10-01T00:00:00.000Z,7721,5774,5879,255059,,177352
2020-10-02T00:00:00.000Z,7053,5603,5802,262112,,182955
2020-10-03T00:00:00.000Z,2595,3505,5611,264707,,186460
2020-10-04T00:00:00.000Z,2936,8118,5142,267643,,194578
2020-10-05T00:00:00.000Z,5710,6980,5071,273353,,201558
2020-10-06T00:00:00.000Z,4719,6435,5722,278072,,207993
2020-10-07T00:00:00.000Z,4156,4907,5683,282228,,212900
2020-10-08T00:00:00.000Z,3751,4815,4984,285979,,217715
2020-10-09T00:00:00.000Z,2954,5106,4417,288933,,222821
2020-10-10T00:00:00.000Z,912,3792,3831,289845,,226613
2020-10-11T00:00:00.000Z,1638,7570,3591,291483,,234183
2020-10-12T00:00:00.000Z,3154,5525,3405,294637,,239708
2020-10-13T00:00:00.000Z,2336,5734,3040,296973,,245442
2020-10-14T00:00:00.000Z,2118,5840,2700,299091,,251282
2020-10-15T00:00:00.000Z,1611,5423,2409,300702,,256705
2020-10-16T00:00:00.000Z,1496,3481,2103,302198,,260186
2020-10-17T00:00:00.000Z,410,2515,1895,302608,,262701
2020-10-18T00:00:00.000Z,924,4916,1823,303532,פתיחת סגר שני,267617
2020-10-19T00:00:00.000Z,1516,2344,1721,305048,,269961
