section,female,male,period
0-9,"{'amount': 2, 'percentage': 0.3}","{'amount': 5, 'percentage': 0.8}",6 חודשים
0-9,"{'amount': 1, 'percentage': 0.6}","{'amount': 1, 'percentage': 0.6}",חודש אחרון
0-9,"{'amount': 18, 'percentage': 0.3}","{'amount': 35, 'percentage': 0.5}",מתחילת קורונה
0-9,"{'amount': 1, 'percentage': 0.4}","{'amount': 1, 'percentage': 0.4}",3 חודשים
0-9,"{'amount': 11, 'percentage': 0.5}","{'amount': 21, 'percentage': 1}",שנה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 23, 'percentage': 0.3}","{'amount': 25, 'percentage': 0.4}",מתחילת קורונה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
10-19,"{'amount': 9, 'percentage': 0.4}","{'amount': 11, 'percentage': 0.5}",שנה
20-29,"{'amount': 8, 'percentage': 1.2}","{'amount': 7, 'percentage': 1.1}",6 חודשים
20-29,"{'amount': 2, 'percentage': 0.8}","{'amount': 4, 'percentage': 1.5}",3 חודשים
20-29,"{'amount': 2, 'percentage': 1.2}","{'amount': 1, 'percentage': 0.6}",חודש אחרון
20-29,"{'amount': 64, 'percentage': 1}","{'amount': 61, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 17, 'percentage': 0.8}","{'amount': 17, 'percentage': 0.8}",שנה
30-39,"{'amount': 116, 'percentage': 1.7}","{'amount': 109, 'percentage': 1.6}",מתחילת קורונה
30-39,"{'amount': 10, 'percentage': 1.5}","{'amount': 5, 'percentage': 0.8}",6 חודשים
30-39,"{'amount': 2, 'percentage': 1.2}","{'amount': 2, 'percentage': 1.2}",חודש אחרון
30-39,"{'amount': 2, 'percentage': 0.8}","{'amount': 3, 'percentage': 1.1}",3 חודשים
30-39,"{'amount': 25, 'percentage': 1.2}","{'amount': 35, 'percentage': 1.7}",שנה
40-49,"{'amount': 146, 'percentage': 2.2}","{'amount': 272, 'percentage': 4}",מתחילת קורונה
40-49,"{'amount': 8, 'percentage': 1.2}","{'amount': 10, 'percentage': 1.5}",6 חודשים
40-49,"{'amount': 4, 'percentage': 1.5}","{'amount': 2, 'percentage': 0.8}",3 חודשים
40-49,"{'amount': 3, 'percentage': 1.7}","{'amount': 1, 'percentage': 0.6}",חודש אחרון
40-49,"{'amount': 26, 'percentage': 1.3}","{'amount': 54, 'percentage': 2.7}",שנה
50-59,"{'amount': 5, 'percentage': 2.9}","{'amount': 10, 'percentage': 5.8}",חודש אחרון
50-59,"{'amount': 21, 'percentage': 3.2}","{'amount': 33, 'percentage': 5}",6 חודשים
50-59,"{'amount': 277, 'percentage': 4.1}","{'amount': 577, 'percentage': 8.6}",מתחילת קורונה
50-59,"{'amount': 10, 'percentage': 3.8}","{'amount': 15, 'percentage': 5.7}",3 חודשים
50-59,"{'amount': 74, 'percentage': 3.7}","{'amount': 130, 'percentage': 6.4}",שנה
60-69,"{'amount': 545, 'percentage': 8.1}","{'amount': 1014, 'percentage': 15.1}",מתחילת קורונה
60-69,"{'amount': 42, 'percentage': 6.4}","{'amount': 77, 'percentage': 11.8}",6 חודשים
60-69,"{'amount': 13, 'percentage': 7.5}","{'amount': 14, 'percentage': 8.1}",חודש אחרון
60-69,"{'amount': 20, 'percentage': 7.6}","{'amount': 26, 'percentage': 9.9}",3 חודשים
60-69,"{'amount': 133, 'percentage': 6.6}","{'amount': 243, 'percentage': 12}",שנה
70-79,"{'amount': 70, 'percentage': 10.7}","{'amount': 124, 'percentage': 18.9}",6 חודשים
70-79,"{'amount': 20, 'percentage': 11.6}","{'amount': 36, 'percentage': 20.8}",חודש אחרון
70-79,"{'amount': 653, 'percentage': 9.7}","{'amount': 1154, 'percentage': 17.2}",מתחילת קורונה
70-79,"{'amount': 23, 'percentage': 8.7}","{'amount': 55, 'percentage': 20.9}",3 חודשים
70-79,"{'amount': 209, 'percentage': 10.4}","{'amount': 354, 'percentage': 17.5}",שנה
80-89,"{'amount': 78, 'percentage': 11.9}","{'amount': 92, 'percentage': 14}",6 חודשים
80-89,"{'amount': 22, 'percentage': 12.7}","{'amount': 22, 'percentage': 12.7}",חודש אחרון
80-89,"{'amount': 555, 'percentage': 8.3}","{'amount': 735, 'percentage': 10.9}",מתחילת קורונה
80-89,"{'amount': 35, 'percentage': 13.3}","{'amount': 33, 'percentage': 12.5}",3 חודשים
80-89,"{'amount': 219, 'percentage': 10.9}","{'amount': 271, 'percentage': 13.4}",שנה
90+,"{'amount': 31, 'percentage': 4.7}","{'amount': 31, 'percentage': 4.7}",6 חודשים
90+,"{'amount': 12, 'percentage': 4.6}","{'amount': 15, 'percentage': 5.7}",3 חודשים
90+,"{'amount': 8, 'percentage': 4.6}","{'amount': 10, 'percentage': 5.8}",חודש אחרון
90+,"{'amount': 170, 'percentage': 2.5}","{'amount': 176, 'percentage': 2.6}",מתחילת קורונה
90+,"{'amount': 78, 'percentage': 3.9}","{'amount': 81, 'percentage': 4}",שנה
