section,female,male,period
0-9,"{'amount': 32, 'percentage': 0.6}","{'amount': 48, 'percentage': 0.8}",3 חודשים
0-9,"{'amount': 9, 'percentage': 0.6}","{'amount': 12, 'percentage': 0.9}",חודש אחרון
0-9,"{'amount': 55, 'percentage': 0.5}","{'amount': 78, 'percentage': 0.6}",שנה
0-9,"{'amount': 41, 'percentage': 0.5}","{'amount': 58, 'percentage': 0.8}",6 חודשים
0-9,"{'amount': 70, 'percentage': 0.2}","{'amount': 104, 'percentage': 0.4}",מתחילת קורונה
10-19,"{'amount': 13, 'percentage': 0.2}","{'amount': 21, 'percentage': 0.4}",3 חודשים
10-19,"{'amount': 31, 'percentage': 0.3}","{'amount': 39, 'percentage': 0.3}",שנה
10-19,"{'amount': 21, 'percentage': 0.3}","{'amount': 29, 'percentage': 0.4}",6 חודשים
10-19,"{'amount': 6, 'percentage': 0.4}","{'amount': 6, 'percentage': 0.4}",חודש אחרון
10-19,"{'amount': 61, 'percentage': 0.2}","{'amount': 70, 'percentage': 0.2}",מתחילת קורונה
20-29,"{'amount': 101, 'percentage': 0.8}","{'amount': 97, 'percentage': 0.8}",שנה
20-29,"{'amount': 54, 'percentage': 0.7}","{'amount': 54, 'percentage': 0.7}",6 חודשים
20-29,"{'amount': 22, 'percentage': 0.4}","{'amount': 38, 'percentage': 0.7}",3 חודשים
20-29,"{'amount': 3, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.6}",חודש אחרון
20-29,"{'amount': 246, 'percentage': 0.9}","{'amount': 213, 'percentage': 0.8}",מתחילת קורונה
30-39,"{'amount': 10, 'percentage': 0.7}","{'amount': 12, 'percentage': 0.9}",חודש אחרון
30-39,"{'amount': 110, 'percentage': 1.5}","{'amount': 109, 'percentage': 1.4}",6 חודשים
30-39,"{'amount': 51, 'percentage': 0.9}","{'amount': 50, 'percentage': 0.9}",3 חודשים
30-39,"{'amount': 237, 'percentage': 2}","{'amount': 227, 'percentage': 1.9}",שנה
30-39,"{'amount': 550, 'percentage': 2}","{'amount': 570, 'percentage': 2}",מתחילת קורונה
40-49,"{'amount': 354, 'percentage': 2.9}","{'amount': 488, 'percentage': 4}",שנה
40-49,"{'amount': 174, 'percentage': 2.3}","{'amount': 249, 'percentage': 3.3}",6 חודשים
40-49,"{'amount': 70, 'percentage': 1.2}","{'amount': 127, 'percentage': 2.2}",3 חודשים
40-49,"{'amount': 14, 'percentage': 1}","{'amount': 31, 'percentage': 2.2}",חודש אחרון
40-49,"{'amount': 894, 'percentage': 3.2}","{'amount': 1310, 'percentage': 4.7}",מתחילת קורונה
50-59,"{'amount': 35, 'percentage': 2.5}","{'amount': 67, 'percentage': 4.8}",חודש אחרון
50-59,"{'amount': 571, 'percentage': 4.7}","{'amount': 762, 'percentage': 6.3}",שנה
50-59,"{'amount': 315, 'percentage': 4.2}","{'amount': 419, 'percentage': 5.5}",6 חודשים
50-59,"{'amount': 181, 'percentage': 3.1}","{'amount': 268, 'percentage': 4.6}",3 חודשים
50-59,"{'amount': 1503, 'percentage': 5.4}","{'amount': 2157, 'percentage': 7.7}",מתחילת קורונה
60-69,"{'amount': 96, 'percentage': 6.9}","{'amount': 131, 'percentage': 9.4}",חודש אחרון
60-69,"{'amount': 888, 'percentage': 7.4}","{'amount': 1178, 'percentage': 9.8}",שנה
60-69,"{'amount': 515, 'percentage': 6.8}","{'amount': 709, 'percentage': 9.4}",6 חודשים
60-69,"{'amount': 361, 'percentage': 6.2}","{'amount': 516, 'percentage': 8.9}",3 חודשים
60-69,"{'amount': 2124, 'percentage': 7.6}","{'amount': 3193, 'percentage': 11.4}",מתחילת קורונה
70-79,"{'amount': 613, 'percentage': 10.6}","{'amount': 817, 'percentage': 14.1}",3 חודשים
70-79,"{'amount': 151, 'percentage': 10.8}","{'amount': 207, 'percentage': 14.8}",חודש אחרון
70-79,"{'amount': 1210, 'percentage': 10}","{'amount': 1520, 'percentage': 12.6}",שנה
70-79,"{'amount': 794, 'percentage': 10.5}","{'amount': 972, 'percentage': 12.8}",6 חודשים
70-79,"{'amount': 2679, 'percentage': 9.6}","{'amount': 3665, 'percentage': 13.1}",מתחילת קורונה
80-89,"{'amount': 879, 'percentage': 15.2}","{'amount': 878, 'percentage': 15.2}",3 חודשים
80-89,"{'amount': 178, 'percentage': 12.7}","{'amount': 236, 'percentage': 16.9}",חודש אחרון
80-89,"{'amount': 1489, 'percentage': 12.3}","{'amount': 1471, 'percentage': 12.2}",שנה
80-89,"{'amount': 1023, 'percentage': 13.5}","{'amount': 1005, 'percentage': 13.3}",6 חודשים
80-89,"{'amount': 3061, 'percentage': 10.9}","{'amount': 3007, 'percentage': 10.7}",מתחילת קורונה
90+,"{'amount': 535, 'percentage': 7.1}","{'amount': 385, 'percentage': 5.1}",6 חודשים
90+,"{'amount': 460, 'percentage': 7.9}","{'amount': 350, 'percentage': 6}",3 חודשים
90+,"{'amount': 760, 'percentage': 6.3}","{'amount': 503, 'percentage': 4.2}",שנה
90+,"{'amount': 97, 'percentage': 6.9}","{'amount': 89, 'percentage': 6.4}",חודש אחרון
90+,"{'amount': 1512, 'percentage': 5.4}","{'amount': 1015, 'percentage': 3.6}",מתחילת קורונה
