amount,date,recovered
0,2020-02-12T00:00:00.000Z,0
0,2020-02-13T00:00:00.000Z,0
0,2020-02-14T00:00:00.000Z,0
0,2020-02-15T00:00:00.000Z,0
0,2020-02-16T00:00:00.000Z,0
0,2020-02-17T00:00:00.000Z,0
0,2020-02-18T00:00:00.000Z,0
0,2020-02-19T00:00:00.000Z,0
0,2020-02-20T00:00:00.000Z,0
1,2020-02-21T00:00:00.000Z,0
0,2020-02-22T00:00:00.000Z,0
0,2020-02-23T00:00:00.000Z,0
1,2020-02-24T00:00:00.000Z,0
0,2020-02-25T00:00:00.000Z,0
0,2020-02-26T00:00:00.000Z,0
1,2020-02-27T00:00:00.000Z,0
3,2020-02-28T00:00:00.000Z,0
0,2020-02-29T00:00:00.000Z,0
1,2020-03-01T00:00:00.000Z,0
5,2020-03-02T00:00:00.000Z,0
3,2020-03-03T00:00:00.000Z,1
0,2020-03-04T00:00:00.000Z,1
2,2020-03-05T00:00:00.000Z,0
4,2020-03-06T00:00:00.000Z,0
4,2020-03-07T00:00:00.000Z,0
9,2020-03-08T00:00:00.000Z,1
4,2020-03-09T00:00:00.000Z,0
33,2020-03-10T00:00:00.000Z,0
19,2020-03-11T00:00:00.000Z,0
22,2020-03-12T00:00:00.000Z,0
35,2020-03-13T00:00:00.000Z,1
29,2020-03-14T00:00:00.000Z,0
39,2020-03-15T00:00:00.000Z,0
73,2020-03-16T00:00:00.000Z,0
94,2020-03-17T00:00:00.000Z,4
118,2020-03-18T00:00:00.000Z,5
136,2020-03-19T00:00:00.000Z,10
168,2020-03-20T00:00:00.000Z,5
210,2020-03-21T00:00:00.000Z,4
254,2020-03-22T00:00:00.000Z,8
352,2020-03-23T00:00:00.000Z,13
423,2020-03-24T00:00:00.000Z,9
425,2020-03-25T00:00:00.000Z,12
520,2020-03-26T00:00:00.000Z,16
434,2020-03-27T00:00:00.000Z,13
480,2020-03-28T00:00:00.000Z,23
532,2020-03-29T00:00:00.000Z,35
546,2020-03-30T00:00:00.000Z,38
738,2020-03-31T00:00:00.000Z,67
713,2020-04-01T00:00:00.000Z,307
719,2020-04-02T00:00:00.000Z,98
597,2020-04-03T00:00:00.000Z,93
427,2020-04-04T00:00:00.000Z,61
583,2020-04-05T00:00:00.000Z,111
451,2020-04-06T00:00:00.000Z,102
378,2020-04-07T00:00:00.000Z,144
338,2020-04-08T00:00:00.000Z,156
343,2020-04-09T00:00:00.000Z,119
359,2020-04-10T00:00:00.000Z,205
345,2020-04-11T00:00:00.000Z,180
554,2020-04-12T00:00:00.000Z,374
438,2020-04-13T00:00:00.000Z,330
399,2020-04-14T00:00:00.000Z,381
311,2020-04-15T00:00:00.000Z,306
296,2020-04-16T00:00:00.000Z,371
298,2020-04-17T00:00:00.000Z,386
291,2020-04-18T00:00:00.000Z,391
277,2020-04-19T00:00:00.000Z,320
299,2020-04-20T00:00:00.000Z,541
283,2020-04-21T00:00:00.000Z,470
225,2020-04-22T00:00:00.000Z,373
276,2020-04-23T00:00:00.000Z,397
248,2020-04-24T00:00:00.000Z,501
159,2020-04-25T00:00:00.000Z,421
83,2020-04-26T00:00:00.000Z,247
127,2020-04-27T00:00:00.000Z,560
160,2020-04-28T00:00:00.000Z,487
82,2020-04-29T00:00:00.000Z,435
142,2020-04-30T00:00:00.000Z,412
117,2020-05-01T00:00:00.000Z,641
57,2020-05-02T00:00:00.000Z,256
27,2020-05-03T00:00:00.000Z,161
53,2020-05-04T00:00:00.000Z,359
32,2020-05-05T00:00:00.000Z,347
65,2020-05-06T00:00:00.000Z,210
61,2020-05-07T00:00:00.000Z,269
33,2020-05-08T00:00:00.000Z,294
19,2020-05-09T00:00:00.000Z,104
29,2020-05-10T00:00:00.000Z,124
39,2020-05-11T00:00:00.000Z,430
23,2020-05-12T00:00:00.000Z,198
37,2020-05-13T00:00:00.000Z,181
24,2020-05-14T00:00:00.000Z,239
12,2020-05-15T00:00:00.000Z,227
5,2020-05-16T00:00:00.000Z,65
15,2020-05-17T00:00:00.000Z,138
27,2020-05-18T00:00:00.000Z,282
22,2020-05-19T00:00:00.000Z,179
15,2020-05-20T00:00:00.000Z,122
17,2020-05-21T00:00:00.000Z,211
19,2020-05-22T00:00:00.000Z,162
5,2020-05-23T00:00:00.000Z,34
13,2020-05-24T00:00:00.000Z,110
22,2020-05-25T00:00:00.000Z,176
50,2020-05-26T00:00:00.000Z,93
40,2020-05-27T00:00:00.000Z,97
77,2020-05-28T00:00:00.000Z,137
113,2020-05-29T00:00:00.000Z,40
29,2020-05-30T00:00:00.000Z,31
87,2020-05-31T00:00:00.000Z,58
100,2020-06-01T00:00:00.000Z,106
121,2020-06-02T00:00:00.000Z,45
97,2020-06-03T00:00:00.000Z,33
142,2020-06-04T00:00:00.000Z,59
125,2020-06-05T00:00:00.000Z,36
78,2020-06-06T00:00:00.000Z,37
140,2020-06-07T00:00:00.000Z,50
179,2020-06-08T00:00:00.000Z,37
172,2020-06-09T00:00:00.000Z,46
239,2020-06-10T00:00:00.000Z,71
191,2020-06-11T00:00:00.000Z,72
183,2020-06-12T00:00:00.000Z,70
150,2020-06-13T00:00:00.000Z,53
136,2020-06-14T00:00:00.000Z,39
198,2020-06-15T00:00:00.000Z,68
298,2020-06-16T00:00:00.000Z,39
270,2020-06-17T00:00:00.000Z,51
302,2020-06-18T00:00:00.000Z,74
308,2020-06-19T00:00:00.000Z,68
157,2020-06-20T00:00:00.000Z,59
172,2020-06-21T00:00:00.000Z,48
346,2020-06-22T00:00:00.000Z,88
448,2020-06-23T00:00:00.000Z,106
485,2020-06-24T00:00:00.000Z,57
513,2020-06-25T00:00:00.000Z,126
464,2020-06-26T00:00:00.000Z,122
401,2020-06-27T00:00:00.000Z,85
381,2020-06-28T00:00:00.000Z,111
752,2020-06-29T00:00:00.000Z,195
781,2020-06-30T00:00:00.000Z,118
968,2020-07-01T00:00:00.000Z,113
1145,2020-07-02T00:00:00.000Z,138
946,2020-07-03T00:00:00.000Z,137
821,2020-07-04T00:00:00.000Z,132
839,2020-07-05T00:00:00.000Z,159
1138,2020-07-06T00:00:00.000Z,149
1387,2020-07-07T00:00:00.000Z,163
1324,2020-07-08T00:00:00.000Z,138
1522,2020-07-09T00:00:00.000Z,208
1411,2020-07-10T00:00:00.000Z,215
1166,2020-07-11T00:00:00.000Z,209
1241,2020-07-12T00:00:00.000Z,296
1717,2020-07-13T00:00:00.000Z,342
1601,2020-07-14T00:00:00.000Z,306
1879,2020-07-15T00:00:00.000Z,381
1932,2020-07-16T00:00:00.000Z,493
1603,2020-07-17T00:00:00.000Z,504
1446,2020-07-18T00:00:00.000Z,523
1014,2020-07-19T00:00:00.000Z,439
1889,2020-07-20T00:00:00.000Z,619
2004,2020-07-21T00:00:00.000Z,643
2041,2020-07-22T00:00:00.000Z,3726
1986,2020-07-23T00:00:00.000Z,7205
1831,2020-07-24T00:00:00.000Z,1894
1120,2020-07-25T00:00:00.000Z,673
1040,2020-07-26T00:00:00.000Z,2979
2057,2020-07-27T00:00:00.000Z,1978
2124,2020-07-28T00:00:00.000Z,1750
1962,2020-07-29T00:00:00.000Z,1519
1788,2020-07-30T00:00:00.000Z,1831
1359,2020-07-31T00:00:00.000Z,1399
628,2020-08-01T00:00:00.000Z,570
712,2020-08-02T00:00:00.000Z,2676
1802,2020-08-03T00:00:00.000Z,1945
1725,2020-08-04T00:00:00.000Z,1822
1690,2020-08-05T00:00:00.000Z,1612
1674,2020-08-06T00:00:00.000Z,1940
1759,2020-08-07T00:00:00.000Z,1361
756,2020-08-08T00:00:00.000Z,651
925,2020-08-09T00:00:00.000Z,2413
1697,2020-08-10T00:00:00.000Z,1383
1822,2020-08-11T00:00:00.000Z,1011
1614,2020-08-12T00:00:00.000Z,1160
1639,2020-08-13T00:00:00.000Z,1345
1397,2020-08-14T00:00:00.000Z,1043
764,2020-08-15T00:00:00.000Z,594
1065,2020-08-16T00:00:00.000Z,2193
1654,2020-08-17T00:00:00.000Z,1230
1647,2020-08-18T00:00:00.000Z,1306
1645,2020-08-19T00:00:00.000Z,1518
1489,2020-08-20T00:00:00.000Z,1394
1491,2020-08-21T00:00:00.000Z,1600
718,2020-08-22T00:00:00.000Z,689
967,2020-08-23T00:00:00.000Z,2155
1896,2020-08-24T00:00:00.000Z,1341
1961,2020-08-25T00:00:00.000Z,2590
1951,2020-08-26T00:00:00.000Z,2435
2068,2020-08-27T00:00:00.000Z,1510
1833,2020-08-28T00:00:00.000Z,1914
908,2020-08-29T00:00:00.000Z,728
1110,2020-08-30T00:00:00.000Z,2331
2201,2020-08-31T00:00:00.000Z,1286
2251,2020-09-01T00:00:00.000Z,1100
3194,2020-09-02T00:00:00.000Z,1522
2661,2020-09-03T00:00:00.000Z,1856
2621,2020-09-04T00:00:00.000Z,1261
1508,2020-09-05T00:00:00.000Z,808
2186,2020-09-06T00:00:00.000Z,2382
3399,2020-09-07T00:00:00.000Z,1515
3533,2020-09-08T00:00:00.000Z,1399
3989,2020-09-09T00:00:00.000Z,1547
4149,2020-09-10T00:00:00.000Z,1875
3971,2020-09-11T00:00:00.000Z,1780
2702,2020-09-12T00:00:00.000Z,1192
3195,2020-09-13T00:00:00.000Z,3231
4913,2020-09-14T00:00:00.000Z,2260
3189,2020-09-15T00:00:00.000Z,303
