CountBreath,CountDeath,CountEasyStatus,CountHardStatus,CountMediumStatus,Counthospitalized,Counthospitalized_without_release,StandardOccupancy,date,new_hospitalized,num_visits,patients_home,patients_hotel,total_beds
0,0,11,0,0,11,11,0.004739336492890996,2020-03-02T00:00:00.000Z,1,5632,4,0,2321
0,0,10,0,0,10,10,0.004308487720809996,2020-03-03T00:00:00.000Z,0,7857,7,0,2321
0,0,11,0,0,11,11,0.004739336492890996,2020-03-04T00:00:00.000Z,0,7012,5,0,2321
0,0,12,1,0,13,13,0.005601034037052995,2020-03-05T00:00:00.000Z,1,7012,5,0,2321
1,0,14,2,0,16,16,0.006893580353295993,2020-03-06T00:00:00.000Z,1,5177,6,0,2321
2,0,17,3,0,20,20,0.008616975441619991,2020-03-07T00:00:00.000Z,1,4861,6,0,2321
4,0,21,5,0,26,26,0.01120206807410599,2020-03-08T00:00:00.000Z,2,7330,9,0,2321
5,0,34,6,0,40,40,0.01723395088323998,2020-03-09T00:00:00.000Z,7,6205,-1,0,2321
5,0,53,6,0,59,59,0.02542007755277898,2020-03-10T00:00:00.000Z,2,6021,13,0,2321
6,0,73,7,1,81,81,0.03489875053856097,2020-03-11T00:00:00.000Z,10,5980,11,0,2321
6,0,95,7,1,103,101,0.04437742352434296,2020-03-12T00:00:00.000Z,6,5983,12,0,2321
6,0,112,7,4,123,122,0.05299439896596295,2020-03-13T00:00:00.000Z,10,4122,26,0,2321
4,0,152,6,4,162,161,0.06979750107712193,2020-03-14T00:00:00.000Z,20,3693,16,0,2321
6,0,186,9,6,201,199,0.08660060318828092,2020-03-15T00:00:00.000Z,37,5491,16,0,2321
7,0,205,11,5,221,215,0.0952175786299009,2020-03-16T00:00:00.000Z,27,4759,73,0,2321
7,0,238,12,6,256,256,0.1102972856527359,2020-03-17T00:00:00.000Z,46,4338,122,0,2321
7,0,279,16,11,306,269,0.1318397242567859,2020-03-18T00:00:00.000Z,54,3920,222,0,2321
12,0,263,21,11,295,264,0.1271003877638949,2020-03-19T00:00:00.000Z,31,4053,352,0,2321
12,1,252,23,14,289,251,0.1245152951314089,2020-03-20T00:00:00.000Z,30,3207,529,0,2321
15,0,228,27,21,276,273,0.1189142610943559,2020-03-21T00:00:00.000Z,34,2905,713,0,2321
22,0,254,37,32,323,304,0.1391641533821629,2020-03-22T00:00:00.000Z,54,4524,929,0,2321
24,0,272,42,36,350,323,0.1507970702283498,2020-03-23T00:00:00.000Z,58,4053,1247,0,2321
