date,CountBreathCum,CountSeriousCriticalCum,serious_critical_new,CountHardStatus
2020-03-02T00:00:00.000Z,0,0,0,0
2020-03-03T00:00:00.000Z,0,0,0,0
2020-03-04T00:00:00.000Z,0,0,0,0
2020-03-05T00:00:00.000Z,0,1,1,1
2020-03-06T00:00:00.000Z,1,2,1,2
2020-03-07T00:00:00.000Z,2,3,1,3
2020-03-08T00:00:00.000Z,4,5,2,5
2020-03-09T00:00:00.000Z,4,5,0,5
2020-03-10T00:00:00.000Z,5,6,1,6
2020-03-11T00:00:00.000Z,6,7,1,7
2020-03-12T00:00:00.000Z,6,7,0,7
2020-03-13T00:00:00.000Z,6,7,0,7
2020-03-14T00:00:00.000Z,6,8,1,6
2020-03-15T00:00:00.000Z,8,11,3,9
2020-03-16T00:00:00.000Z,9,13,2,11
2020-03-17T00:00:00.000Z,9,14,1,12
2020-03-18T00:00:00.000Z,9,18,4,16
2020-03-19T00:00:00.000Z,14,23,5,21
2020-03-20T00:00:00.000Z,14,26,3,23
2020-03-21T00:00:00.000Z,17,30,4,27
2020-03-22T00:00:00.000Z,24,41,11,38
2020-03-23T00:00:00.000Z,28,48,7,44
2020-03-24T00:00:00.000Z,30,55,7,48
2020-03-25T00:00:00.000Z,33,60,5,52
2020-03-26T00:00:00.000Z,39,69,10,56
2020-03-27T00:00:00.000Z,46,82,13,66
2020-03-28T00:00:00.000Z,51,87,5,70
2020-03-29T00:00:00.000Z,62,101,14,80
2020-03-30T00:00:00.000Z,70,113,13,90
2020-03-31T00:00:00.000Z,81,128,15,99
2020-04-01T00:00:00.000Z,95,148,21,111
2020-04-02T00:00:00.000Z,106,160,12,113
2020-04-03T00:00:00.000Z,126,182,24,131
2020-04-04T00:00:00.000Z,143,197,17,140
2020-04-05T00:00:00.000Z,150,203,6,135
2020-04-06T00:00:00.000Z,164,223,21,147
2020-04-07T00:00:00.000Z,171,241,18,160
2020-04-08T00:00:00.000Z,178,258,22,166
2020-04-09T00:00:00.000Z,185,274,19,166
2020-04-10T00:00:00.000Z,196,284,13,170
2020-04-11T00:00:00.000Z,205,308,26,182
2020-04-12T00:00:00.000Z,212,326,21,177
2020-04-13T00:00:00.000Z,224,352,34,192
2020-04-14T00:00:00.000Z,228,359,8,178
2020-04-15T00:00:00.000Z,241,380,26,179
2020-04-16T00:00:00.000Z,251,393,19,182
2020-04-17T00:00:00.000Z,254,401,13,165
2020-04-18T00:00:00.000Z,260,417,28,174
2020-04-19T00:00:00.000Z,267,425,8,157
2020-04-20T00:00:00.000Z,276,430,11,154
2020-04-21T00:00:00.000Z,279,436,8,145
2020-04-22T00:00:00.000Z,279,444,10,149
2020-04-23T00:00:00.000Z,283,449,11,146
2020-04-24T00:00:00.000Z,287,456,9,144
2020-04-25T00:00:00.000Z,288,459,7,136
2020-04-26T00:00:00.000Z,292,466,10,142
2020-04-27T00:00:00.000Z,293,468,3,132
2020-04-28T00:00:00.000Z,296,472,6,127
2020-04-29T00:00:00.000Z,296,477,6,122
2020-04-30T00:00:00.000Z,296,480,5,112
2020-05-01T00:00:00.000Z,299,484,5,109
2020-05-02T00:00:00.000Z,300,486,7,111
2020-05-03T00:00:00.000Z,300,486,2,101
2020-05-04T00:00:00.000Z,300,487,2,97
2020-05-05T00:00:00.000Z,300,487,0,91
2020-05-06T00:00:00.000Z,300,488,3,88
2020-05-07T00:00:00.000Z,302,489,3,84
2020-05-08T00:00:00.000Z,303,491,3,78
2020-05-09T00:00:00.000Z,304,492,5,78
2020-05-10T00:00:00.000Z,308,495,4,74
2020-05-11T00:00:00.000Z,309,498,3,69
2020-05-12T00:00:00.000Z,310,500,3,66
2020-05-13T00:00:00.000Z,312,502,2,61
2020-05-14T00:00:00.000Z,313,503,2,61
2020-05-15T00:00:00.000Z,313,503,0,61
2020-05-16T00:00:00.000Z,313,503,0,60
2020-05-17T00:00:00.000Z,314,505,3,55
2020-05-18T00:00:00.000Z,315,506,1,52
2020-05-19T00:00:00.000Z,315,508,3,51
2020-05-20T00:00:00.000Z,315,508,1,46
2020-05-21T00:00:00.000Z,315,508,2,47
2020-05-22T00:00:00.000Z,315,508,0,46
2020-05-23T00:00:00.000Z,315,508,0,46
2020-05-24T00:00:00.000Z,315,508,1,43
2020-05-25T00:00:00.000Z,315,509,2,41
2020-05-26T00:00:00.000Z,315,509,1,36
2020-05-27T00:00:00.000Z,316,510,5,40
2020-05-28T00:00:00.000Z,316,510,0,36
2020-05-29T00:00:00.000Z,317,511,4,39
2020-05-30T00:00:00.000Z,317,511,0,35
2020-05-31T00:00:00.000Z,317,512,3,35
2020-06-01T00:00:00.000Z,317,512,1,32
2020-06-02T00:00:00.000Z,318,513,2,29
2020-06-03T00:00:00.000Z,318,513,1,28
2020-06-04T00:00:00.000Z,318,516,4,30
2020-06-05T00:00:00.000Z,318,516,0,29
2020-06-06T00:00:00.000Z,318,519,5,29
2020-06-07T00:00:00.000Z,319,523,5,29
2020-06-08T00:00:00.000Z,319,525,2,30
2020-06-09T00:00:00.000Z,321,528,3,31
