date,amount
,49
2020-02-12T00:00:00.000Z,0
2020-02-13T00:00:00.000Z,0
2020-02-14T00:00:00.000Z,0
2020-02-15T00:00:00.000Z,0
2020-02-16T00:00:00.000Z,0
2020-02-17T00:00:00.000Z,0
2020-02-18T00:00:00.000Z,0
2020-02-19T00:00:00.000Z,0
2020-02-20T00:00:00.000Z,0
2020-02-21T00:00:00.000Z,0
2020-02-22T00:00:00.000Z,0
2020-02-23T00:00:00.000Z,0
2020-02-24T00:00:00.000Z,0
2020-02-25T00:00:00.000Z,0
2020-02-26T00:00:00.000Z,0
2020-02-27T00:00:00.000Z,0
2020-02-28T00:00:00.000Z,0
2020-02-29T00:00:00.000Z,0
2020-03-01T00:00:00.000Z,0
2020-03-02T00:00:00.000Z,0
2020-03-03T00:00:00.000Z,0
2020-03-04T00:00:00.000Z,0
2020-03-05T00:00:00.000Z,0
2020-03-06T00:00:00.000Z,0
2020-03-07T00:00:00.000Z,0
2020-03-08T00:00:00.000Z,0
2020-03-09T00:00:00.000Z,0
2020-03-10T00:00:00.000Z,0
2020-03-11T00:00:00.000Z,0
2020-03-12T00:00:00.000Z,0
2020-03-13T00:00:00.000Z,1
2020-03-14T00:00:00.000Z,0
2020-03-15T00:00:00.000Z,0
2020-03-16T00:00:00.000Z,0
2020-03-17T00:00:00.000Z,2
2020-03-18T00:00:00.000Z,2
2020-03-19T00:00:00.000Z,4
2020-03-20T00:00:00.000Z,1
2020-03-21T00:00:00.000Z,1
2020-03-22T00:00:00.000Z,4
2020-03-23T00:00:00.000Z,6
2020-03-24T00:00:00.000Z,5
2020-03-25T00:00:00.000Z,6
2020-03-26T00:00:00.000Z,10
2020-03-27T00:00:00.000Z,18
2020-03-28T00:00:00.000Z,9
2020-03-29T00:00:00.000Z,15
2020-03-30T00:00:00.000Z,35
2020-03-31T00:00:00.000Z,47
2020-04-01T00:00:00.000Z,35
2020-04-02T00:00:00.000Z,90
2020-04-03T00:00:00.000Z,58
2020-04-04T00:00:00.000Z,56
2020-04-05T00:00:00.000Z,105
2020-04-06T00:00:00.000Z,124
2020-04-07T00:00:00.000Z,123
2020-04-08T00:00:00.000Z,114
2020-04-09T00:00:00.000Z,117
2020-04-10T00:00:00.000Z,142
2020-04-11T00:00:00.000Z,130
2020-04-12T00:00:00.000Z,276
2020-04-13T00:00:00.000Z,295
2020-04-14T00:00:00.000Z,306
2020-04-15T00:00:00.000Z,290
2020-04-16T00:00:00.000Z,340
2020-04-17T00:00:00.000Z,370
2020-04-18T00:00:00.000Z,255
2020-04-19T00:00:00.000Z,396
2020-04-20T00:00:00.000Z,463
2020-04-21T00:00:00.000Z,385
2020-04-22T00:00:00.000Z,407
2020-04-23T00:00:00.000Z,345
2020-04-24T00:00:00.000Z,352
2020-04-25T00:00:00.000Z,387
2020-04-26T00:00:00.000Z,442
2020-04-27T00:00:00.000Z,477
2020-04-28T00:00:00.000Z,578
2020-04-29T00:00:00.000Z,362
2020-04-30T00:00:00.000Z,444
2020-05-01T00:00:00.000Z,425
2020-05-02T00:00:00.000Z,298
2020-05-03T00:00:00.000Z,306
2020-05-04T00:00:00.000Z,267
2020-05-05T00:00:00.000Z,325
2020-05-06T00:00:00.000Z,265
2020-05-07T00:00:00.000Z,237
2020-05-08T00:00:00.000Z,229
2020-05-09T00:00:00.000Z,95
2020-05-10T00:00:00.000Z,176
2020-05-11T00:00:00.000Z,339
2020-05-12T00:00:00.000Z,264
2020-05-13T00:00:00.000Z,183
2020-05-14T00:00:00.000Z,244
2020-05-15T00:00:00.000Z,164
2020-05-16T00:00:00.000Z,104
2020-05-17T00:00:00.000Z,157
2020-05-18T00:00:00.000Z,284
2020-05-19T00:00:00.000Z,157
2020-05-20T00:00:00.000Z,118
2020-05-21T00:00:00.000Z,131
2020-05-22T00:00:00.000Z,164
2020-05-23T00:00:00.000Z,46
2020-05-24T00:00:00.000Z,118
2020-05-25T00:00:00.000Z,134
2020-05-26T00:00:00.000Z,94
2020-05-27T00:00:00.000Z,63
2020-05-28T00:00:00.000Z,116
2020-05-29T00:00:00.000Z,39
2020-05-30T00:00:00.000Z,40
2020-05-31T00:00:00.000Z,62
2020-06-01T00:00:00.000Z,70
2020-06-02T00:00:00.000Z,56
2020-06-03T00:00:00.000Z,28
2020-06-04T00:00:00.000Z,42
2020-06-05T00:00:00.000Z,37
2020-06-06T00:00:00.000Z,24
2020-06-07T00:00:00.000Z,43
2020-06-08T00:00:00.000Z,42
2020-06-09T00:00:00.000Z,47
2020-06-10T00:00:00.000Z,52
2020-06-11T00:00:00.000Z,58
2020-06-12T00:00:00.000Z,55
2020-06-13T00:00:00.000Z,41
2020-06-14T00:00:00.000Z,49
2020-06-15T00:00:00.000Z,90
2020-06-16T00:00:00.000Z,53
2020-06-17T00:00:00.000Z,48
2020-06-18T00:00:00.000Z,54
2020-06-19T00:00:00.000Z,58
2020-06-20T00:00:00.000Z,36
2020-06-21T00:00:00.000Z,52
2020-06-22T00:00:00.000Z,60
2020-06-23T00:00:00.000Z,87
2020-06-24T00:00:00.000Z,73
2020-06-25T00:00:00.000Z,77
2020-06-26T00:00:00.000Z,131
2020-06-27T00:00:00.000Z,51
2020-06-28T00:00:00.000Z,143
2020-06-29T00:00:00.000Z,164
2020-06-30T00:00:00.000Z,133
2020-07-01T00:00:00.000Z,99
2020-07-02T00:00:00.000Z,130
2020-07-03T00:00:00.000Z,119
2020-07-04T00:00:00.000Z,75
2020-07-05T00:00:00.000Z,149
2020-07-06T00:00:00.000Z,200
2020-07-07T00:00:00.000Z,176
2020-07-08T00:00:00.000Z,234
2020-07-09T00:00:00.000Z,228
2020-07-10T00:00:00.000Z,214
2020-07-11T00:00:00.000Z,191
2020-07-12T00:00:00.000Z,343
2020-07-13T00:00:00.000Z,363
2020-07-14T00:00:00.000Z,315
2020-07-15T00:00:00.000Z,361
2020-07-16T00:00:00.000Z,508
2020-07-17T00:00:00.000Z,483
2020-07-18T00:00:00.000Z,443
2020-07-19T00:00:00.000Z,522
2020-07-20T00:00:00.000Z,623
2020-07-21T00:00:00.000Z,634
2020-07-22T00:00:00.000Z,3835
2020-07-23T00:00:00.000Z,6646
2020-07-24T00:00:00.000Z,1676
2020-07-25T00:00:00.000Z,604
2020-07-26T00:00:00.000Z,2839
2020-07-27T00:00:00.000Z,1817
2020-07-28T00:00:00.000Z,1605
2020-07-29T00:00:00.000Z,1445
2020-07-30T00:00:00.000Z,1737
2020-07-31T00:00:00.000Z,1321
2020-08-01T00:00:00.000Z,545
2020-08-02T00:00:00.000Z,2521
2020-08-03T00:00:00.000Z,1855
2020-08-04T00:00:00.000Z,1701
2020-08-05T00:00:00.000Z,1521
2020-08-06T00:00:00.000Z,1820
2020-08-07T00:00:00.000Z,1248
2020-08-08T00:00:00.000Z,617
2020-08-09T00:00:00.000Z,2301
2020-08-10T00:00:00.000Z,1396
2020-08-11T00:00:00.000Z,997
2020-08-12T00:00:00.000Z,1147
2020-08-13T00:00:00.000Z,1325
2020-08-14T00:00:00.000Z,990
2020-08-15T00:00:00.000Z,568
2020-08-16T00:00:00.000Z,2247
2020-08-17T00:00:00.000Z,1205
2020-08-18T00:00:00.000Z,1128
2020-08-19T00:00:00.000Z,1491
2020-08-20T00:00:00.000Z,1448
2020-08-21T00:00:00.000Z,1593
2020-08-22T00:00:00.000Z,671
2020-08-23T00:00:00.000Z,2141
2020-08-24T00:00:00.000Z,1410
2020-08-25T00:00:00.000Z,802
2020-08-26T00:00:00.000Z,3722
2020-08-27T00:00:00.000Z,1535
2020-08-28T00:00:00.000Z,1849
2020-08-29T00:00:00.000Z,714
2020-08-30T00:00:00.000Z,2314
2020-08-31T00:00:00.000Z,1498
2020-09-01T00:00:00.000Z,1022
2020-09-02T00:00:00.000Z,1417
2020-09-03T00:00:00.000Z,1827
2020-09-04T00:00:00.000Z,1219
