amount,date,recovered
0,2020-02-12T00:00:00.000Z,0
0,2020-02-13T00:00:00.000Z,0
0,2020-02-14T00:00:00.000Z,0
0,2020-02-15T00:00:00.000Z,0
0,2020-02-16T00:00:00.000Z,0
0,2020-02-17T00:00:00.000Z,0
0,2020-02-18T00:00:00.000Z,0
0,2020-02-19T00:00:00.000Z,0
0,2020-02-20T00:00:00.000Z,0
1,2020-02-21T00:00:00.000Z,0
0,2020-02-22T00:00:00.000Z,0
0,2020-02-23T00:00:00.000Z,0
1,2020-02-24T00:00:00.000Z,0
0,2020-02-25T00:00:00.000Z,0
0,2020-02-26T00:00:00.000Z,0
1,2020-02-27T00:00:00.000Z,0
3,2020-02-28T00:00:00.000Z,0
0,2020-02-29T00:00:00.000Z,0
1,2020-03-01T00:00:00.000Z,1
5,2020-03-02T00:00:00.000Z,0
3,2020-03-03T00:00:00.000Z,1
0,2020-03-04T00:00:00.000Z,1
2,2020-03-05T00:00:00.000Z,0
4,2020-03-06T00:00:00.000Z,0
4,2020-03-07T00:00:00.000Z,0
9,2020-03-08T00:00:00.000Z,0
4,2020-03-09T00:00:00.000Z,0
33,2020-03-10T00:00:00.000Z,0
20,2020-03-11T00:00:00.000Z,0
21,2020-03-12T00:00:00.000Z,0
36,2020-03-13T00:00:00.000Z,1
29,2020-03-14T00:00:00.000Z,0
38,2020-03-15T00:00:00.000Z,0
73,2020-03-16T00:00:00.000Z,0
94,2020-03-17T00:00:00.000Z,5
118,2020-03-18T00:00:00.000Z,5
135,2020-03-19T00:00:00.000Z,10
168,2020-03-20T00:00:00.000Z,3
210,2020-03-21T00:00:00.000Z,4
254,2020-03-22T00:00:00.000Z,7
352,2020-03-23T00:00:00.000Z,15
423,2020-03-24T00:00:00.000Z,7
425,2020-03-25T00:00:00.000Z,12
520,2020-03-26T00:00:00.000Z,17
434,2020-03-27T00:00:00.000Z,9
480,2020-03-28T00:00:00.000Z,23
532,2020-03-29T00:00:00.000Z,34
546,2020-03-30T00:00:00.000Z,31
738,2020-03-31T00:00:00.000Z,61
701,2020-04-01T00:00:00.000Z,105
719,2020-04-02T00:00:00.000Z,93
597,2020-04-03T00:00:00.000Z,94
427,2020-04-04T00:00:00.000Z,57
583,2020-04-05T00:00:00.000Z,104
451,2020-04-06T00:00:00.000Z,106
378,2020-04-07T00:00:00.000Z,130
338,2020-04-08T00:00:00.000Z,148
343,2020-04-09T00:00:00.000Z,110
359,2020-04-10T00:00:00.000Z,204
345,2020-04-11T00:00:00.000Z,168
554,2020-04-12T00:00:00.000Z,346
438,2020-04-13T00:00:00.000Z,313
399,2020-04-14T00:00:00.000Z,379
311,2020-04-15T00:00:00.000Z,301
296,2020-04-16T00:00:00.000Z,352
298,2020-04-17T00:00:00.000Z,370
291,2020-04-18T00:00:00.000Z,378
277,2020-04-19T00:00:00.000Z,301
299,2020-04-20T00:00:00.000Z,533
283,2020-04-21T00:00:00.000Z,445
226,2020-04-22T00:00:00.000Z,362
276,2020-04-23T00:00:00.000Z,385
248,2020-04-24T00:00:00.000Z,507
159,2020-04-25T00:00:00.000Z,433
83,2020-04-26T00:00:00.000Z,233
127,2020-04-27T00:00:00.000Z,566
160,2020-04-28T00:00:00.000Z,502
82,2020-04-29T00:00:00.000Z,426
142,2020-04-30T00:00:00.000Z,403
117,2020-05-01T00:00:00.000Z,647
57,2020-05-02T00:00:00.000Z,267
27,2020-05-03T00:00:00.000Z,151
53,2020-05-04T00:00:00.000Z,362
32,2020-05-05T00:00:00.000Z,355
65,2020-05-06T00:00:00.000Z,211
61,2020-05-07T00:00:00.000Z,265
33,2020-05-08T00:00:00.000Z,302
19,2020-05-09T00:00:00.000Z,109
29,2020-05-10T00:00:00.000Z,124
39,2020-05-11T00:00:00.000Z,448
23,2020-05-12T00:00:00.000Z,207
37,2020-05-13T00:00:00.000Z,184
24,2020-05-14T00:00:00.000Z,251
12,2020-05-15T00:00:00.000Z,235
5,2020-05-16T00:00:00.000Z,67
15,2020-05-17T00:00:00.000Z,139
27,2020-05-18T00:00:00.000Z,296
22,2020-05-19T00:00:00.000Z,198
15,2020-05-20T00:00:00.000Z,126
17,2020-05-21T00:00:00.000Z,212
20,2020-05-22T00:00:00.000Z,171
5,2020-05-23T00:00:00.000Z,37
13,2020-05-24T00:00:00.000Z,118
22,2020-05-25T00:00:00.000Z,186
50,2020-05-26T00:00:00.000Z,95
40,2020-05-27T00:00:00.000Z,103
77,2020-05-28T00:00:00.000Z,151
113,2020-05-29T00:00:00.000Z,42
28,2020-05-30T00:00:00.000Z,34
88,2020-05-31T00:00:00.000Z,61
100,2020-06-01T00:00:00.000Z,112
121,2020-06-02T00:00:00.000Z,50
96,2020-06-03T00:00:00.000Z,40
142,2020-06-04T00:00:00.000Z,67
124,2020-06-05T00:00:00.000Z,40
78,2020-06-06T00:00:00.000Z,41
140,2020-06-07T00:00:00.000Z,57
179,2020-06-08T00:00:00.000Z,45
172,2020-06-09T00:00:00.000Z,47
238,2020-06-10T00:00:00.000Z,76
191,2020-06-11T00:00:00.000Z,80
183,2020-06-12T00:00:00.000Z,70
149,2020-06-13T00:00:00.000Z,53
136,2020-06-14T00:00:00.000Z,41
198,2020-06-15T00:00:00.000Z,72
297,2020-06-16T00:00:00.000Z,39
270,2020-06-17T00:00:00.000Z,54
302,2020-06-18T00:00:00.000Z,74
308,2020-06-19T00:00:00.000Z,68
157,2020-06-20T00:00:00.000Z,58
172,2020-06-21T00:00:00.000Z,44
345,2020-06-22T00:00:00.000Z,89
447,2020-06-23T00:00:00.000Z,115
485,2020-06-24T00:00:00.000Z,53
513,2020-06-25T00:00:00.000Z,119
464,2020-06-26T00:00:00.000Z,121
401,2020-06-27T00:00:00.000Z,87
381,2020-06-28T00:00:00.000Z,88
752,2020-06-29T00:00:00.000Z,186
780,2020-06-30T00:00:00.000Z,117
967,2020-07-01T00:00:00.000Z,98
1144,2020-07-02T00:00:00.000Z,123
944,2020-07-03T00:00:00.000Z,124
821,2020-07-04T00:00:00.000Z,136
839,2020-07-05T00:00:00.000Z,145
1136,2020-07-06T00:00:00.000Z,151
1386,2020-07-07T00:00:00.000Z,163
1321,2020-07-08T00:00:00.000Z,133
1521,2020-07-09T00:00:00.000Z,197
1410,2020-07-10T00:00:00.000Z,212
1161,2020-07-11T00:00:00.000Z,207
1244,2020-07-12T00:00:00.000Z,289
1716,2020-07-13T00:00:00.000Z,339
1603,2020-07-14T00:00:00.000Z,309
1879,2020-07-15T00:00:00.000Z,387
1931,2020-07-16T00:00:00.000Z,488
1601,2020-07-17T00:00:00.000Z,504
1442,2020-07-18T00:00:00.000Z,542
1016,2020-07-19T00:00:00.000Z,422
1891,2020-07-20T00:00:00.000Z,637
2003,2020-07-21T00:00:00.000Z,661
2043,2020-07-22T00:00:00.000Z,3473
1986,2020-07-23T00:00:00.000Z,6966
1832,2020-07-24T00:00:00.000Z,1537
1113,2020-07-25T00:00:00.000Z,683
1043,2020-07-26T00:00:00.000Z,2726
2055,2020-07-27T00:00:00.000Z,1891
2100,2020-07-28T00:00:00.000Z,1647
1961,2020-07-29T00:00:00.000Z,1356
1790,2020-07-30T00:00:00.000Z,1666
1354,2020-07-31T00:00:00.000Z,1350
628,2020-08-01T00:00:00.000Z,542
711,2020-08-02T00:00:00.000Z,2419
1803,2020-08-03T00:00:00.000Z,1853
1723,2020-08-04T00:00:00.000Z,1359
1689,2020-08-05T00:00:00.000Z,119
1339,2020-08-06T00:00:00.000Z,115
