CountBreath,CountDeath,CountEasyStatus,CountHardStatus,CountMediumStatus,Counthospitalized,Counthospitalized_without_release,StandardOccupancy,date,new_hospitalized,num_visits,patients_home,patients_hotel,total_beds
0,0,11,0,0,11,11,0.007096774193548388,2020-03-02T00:00:00.000Z,1,5632,53,0,1550
0,0,10,0,0,10,10,0.006451612903225806,2020-03-03T00:00:00.000Z,0,7857,56,0,1550
0,0,11,0,0,11,11,0.007096774193548388,2020-03-04T00:00:00.000Z,0,7012,54,0,1550
0,0,12,1,0,13,13,0.008387096774193548,2020-03-05T00:00:00.000Z,1,7012,54,0,1550
1,0,14,2,0,16,16,0.01032258064516129,2020-03-06T00:00:00.000Z,1,5177,55,0,1550
2,0,17,3,0,20,20,0.01290322580645161,2020-03-07T00:00:00.000Z,1,4861,55,0,1550
4,0,21,5,0,26,26,0.0167741935483871,2020-03-08T00:00:00.000Z,2,7330,58,0,1550
5,0,33,6,0,39,39,0.02516129032258065,2020-03-09T00:00:00.000Z,7,6205,49,0,1550
5,0,53,6,0,59,59,0.03806451612903226,2020-03-10T00:00:00.000Z,2,6021,62,0,1550
6,0,73,7,1,81,81,0.05225806451612904,2020-03-11T00:00:00.000Z,10,5980,60,0,1550
6,0,95,7,1,103,101,0.0664516129032258,2020-03-12T00:00:00.000Z,6,5983,61,0,1550
6,0,112,7,4,123,122,0.07935483870967742,2020-03-13T00:00:00.000Z,10,4121,75,0,1550
4,0,152,6,4,162,161,0.1045161290322581,2020-03-14T00:00:00.000Z,20,3692,65,0,1550
6,0,187,9,6,202,200,0.1303225806451613,2020-03-15T00:00:00.000Z,37,5491,64,0,1550
7,0,205,11,5,221,215,0.1425806451612903,2020-03-16T00:00:00.000Z,27,4759,122,0,1550
7,0,238,12,6,256,256,0.1651612903225807,2020-03-17T00:00:00.000Z,46,4338,171,0,1550
7,0,279,16,11,306,269,0.1974193548387097,2020-03-18T00:00:00.000Z,54,3920,271,0,1550
12,0,263,21,11,295,264,0.1903225806451613,2020-03-19T00:00:00.000Z,31,4053,401,0,1550
12,1,252,23,14,289,251,0.1864516129032258,2020-03-20T00:00:00.000Z,30,3207,578,0,1550
15,0,229,27,21,277,273,0.1787096774193548,2020-03-21T00:00:00.000Z,34,2905,762,0,1550
22,0,255,37,32,324,305,0.2090322580645161,2020-03-22T00:00:00.000Z,54,4523,977,0,1550
24,0,274,42,36,352,323,0.2270967741935484,2020-03-23T00:00:00.000Z,58,4053,1296,0,1550
26,3,301,45,48,394,343,0.2541935483870968,2020-03-24T00:00:00.000Z,82,3963,1689,0,1550
28,1,311,49,53,413,397,0.2664516129032258,2020-03-25T00:00:00.000Z,81,3666,2047,0,1550
31,5,345,54,65,464,413,0.2993548387096774,2020-03-26T00:00:00.000Z,83,3925,2529,0,1550
36,2,381,65,69,515,469,0.3322580645161291,2020-03-27T00:00:00.000Z,110,3267,2896,0,1550
