date,amount
,351
2020-02-12T00:00:00.000Z,0
2020-02-13T00:00:00.000Z,0
2020-02-14T00:00:00.000Z,0
2020-02-15T00:00:00.000Z,0
2020-02-16T00:00:00.000Z,0
2020-02-17T00:00:00.000Z,0
2020-02-18T00:00:00.000Z,0
2020-02-19T00:00:00.000Z,0
2020-02-20T00:00:00.000Z,0
2020-02-21T00:00:00.000Z,0
2020-02-22T00:00:00.000Z,0
2020-02-23T00:00:00.000Z,0
2020-02-24T00:00:00.000Z,0
2020-02-25T00:00:00.000Z,0
2020-02-26T00:00:00.000Z,0
2020-02-27T00:00:00.000Z,0
2020-02-28T00:00:00.000Z,0
2020-02-29T00:00:00.000Z,0
2020-03-01T00:00:00.000Z,0
2020-03-02T00:00:00.000Z,0
2020-03-03T00:00:00.000Z,1
2020-03-04T00:00:00.000Z,1
2020-03-05T00:00:00.000Z,0
2020-03-06T00:00:00.000Z,0
2020-03-07T00:00:00.000Z,0
2020-03-08T00:00:00.000Z,1
2020-03-09T00:00:00.000Z,0
2020-03-10T00:00:00.000Z,0
2020-03-11T00:00:00.000Z,0
2020-03-12T00:00:00.000Z,0
2020-03-13T00:00:00.000Z,1
2020-03-14T00:00:00.000Z,0
2020-03-15T00:00:00.000Z,0
2020-03-16T00:00:00.000Z,0
2020-03-17T00:00:00.000Z,4
2020-03-18T00:00:00.000Z,5
2020-03-19T00:00:00.000Z,10
2020-03-20T00:00:00.000Z,5
2020-03-21T00:00:00.000Z,4
2020-03-22T00:00:00.000Z,8
2020-03-23T00:00:00.000Z,13
2020-03-24T00:00:00.000Z,9
2020-03-25T00:00:00.000Z,13
2020-03-26T00:00:00.000Z,16
2020-03-27T00:00:00.000Z,12
2020-03-28T00:00:00.000Z,24
2020-03-29T00:00:00.000Z,34
2020-03-30T00:00:00.000Z,39
2020-03-31T00:00:00.000Z,70
2020-04-01T00:00:00.000Z,61
2020-04-02T00:00:00.000Z,96
2020-04-03T00:00:00.000Z,92
2020-04-04T00:00:00.000Z,60
2020-04-05T00:00:00.000Z,115
2020-04-06T00:00:00.000Z,104
2020-04-07T00:00:00.000Z,144
2020-04-08T00:00:00.000Z,153
2020-04-09T00:00:00.000Z,124
2020-04-10T00:00:00.000Z,205
2020-04-11T00:00:00.000Z,174
2020-04-12T00:00:00.000Z,370
2020-04-13T00:00:00.000Z,334
2020-04-14T00:00:00.000Z,377
2020-04-15T00:00:00.000Z,316
2020-04-16T00:00:00.000Z,365
2020-04-17T00:00:00.000Z,378
2020-04-18T00:00:00.000Z,394
2020-04-19T00:00:00.000Z,325
2020-04-20T00:00:00.000Z,543
2020-04-21T00:00:00.000Z,465
2020-04-22T00:00:00.000Z,370
2020-04-23T00:00:00.000Z,394
2020-04-24T00:00:00.000Z,510
2020-04-25T00:00:00.000Z,411
2020-04-26T00:00:00.000Z,257
2020-04-27T00:00:00.000Z,569
2020-04-28T00:00:00.000Z,485
2020-04-29T00:00:00.000Z,426
2020-04-30T00:00:00.000Z,411
2020-05-01T00:00:00.000Z,636
2020-05-02T00:00:00.000Z,250
2020-05-03T00:00:00.000Z,165
2020-05-04T00:00:00.000Z,359
2020-05-05T00:00:00.000Z,345
