age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,357715,288384,635971,56.2,45.3,467,0.1
16-19,510477,441702,591331,86.3,74.7,184069,31.1
20-29,1096366,979754,1319364,83.1,74.3,602771,45.7
30-39,1050933,963224,1207243,87.1,79.8,620486,51.4
40-49,989434,919103,1110965,89.1,82.7,672242,60.5
50-59,787049,740635,874608,90,84.7,592718,67.8
60-69,687269,660507,747217,92,88.4,569584,76.2
70-79,475659,464864,526929,90.3,88.2,433426,82.3
80-89,215280,209609,238729,90.2,87.8,189536,79.4
90+,48955,47142,58687,83.4,80.3,41294,70.4
