name,coronaOccupancy,normalOccupancy,isolatedTeam
יוספטל,100,,0
סורוקה,28.999999999999996,,0
סוראסקי,27,,0
הכרמל,26,,0
שיבא,23,,0
שניידר,21,,0
זיו צפת,17,,0
המרכזי בעמק,16,,0
לניאדו,14.000000000000002,,0
הלל יפה,13,,0
קפלן,12,,0
הסקוטי,11,,0
אסותא אשדוד,11,,0
שמיר,10,,0
פוריה,10,,0
"רמב""ם",9,,0
המשפחה הקדושה,9,,0
נהריה,8,,0
ברזילי,8,,0
שערי צדק,8,,0
רבין ק. בילינסון,7.000000000000001,,0
הדסה עין כרם,7.000000000000001,,0
סנט ג'וזף,7.000000000000001,,0
בני ציון,5,,0
מאיר,5,,0
אוגוסטה ויקטוריה,5,,0
הדסה הר הצופים,4,,0
וולפסון,1,,0
רבין ק. השרון,0,,0
סנט וינסנט,0,,0
אל מקאסד,0,,0
מעייני הישועה,0,,0
