date,visited_country,vaccination_ind,none_vaccination_ind,sum_arrival
2021-05-01T00:00:00.000Z,אנגולה,2,0,2
2021-05-01T00:00:00.000Z,שוודיה,3,2,5
2021-05-01T00:00:00.000Z,דנמרק,6,3,9
2021-05-01T00:00:00.000Z,סאו טומה ופרינציפה,1,0,1
2021-05-01T00:00:00.000Z,איחוד האמירויות הערב,303,60,363
2021-05-01T00:00:00.000Z,דרום סודאן,1,0,1
2021-05-01T00:00:00.000Z,גרמניה,157,115,272
2021-05-01T00:00:00.000Z,גינאה,0,1,1
2021-05-01T00:00:00.000Z,גווטאמלה,4,0,4
2021-05-01T00:00:00.000Z,גאנה,3,0,3
2021-05-01T00:00:00.000Z,הולנד,6,17,23
2021-05-01T00:00:00.000Z,הונג קונג,0,6,6
2021-05-01T00:00:00.000Z,הונגריה,0,2,2
2021-05-01T00:00:00.000Z,הממלכה המאוחדת,17,41,58
2021-05-01T00:00:00.000Z,הרפ הדומיניקנית,4,0,4
2021-05-01T00:00:00.000Z,זאיר,7,1,8
2021-05-01T00:00:00.000Z,זימבאבווה,2,0,2
2021-05-01T00:00:00.000Z,זמביה,4,0,4
2021-05-01T00:00:00.000Z,חוף השנהב,5,0,5
2021-05-01T00:00:00.000Z,טנזניה,9,2,11
2021-05-01T00:00:00.000Z,יוון,16,0,16
2021-05-01T00:00:00.000Z,יפן,1,9,10
2021-05-01T00:00:00.000Z,כלל המדינות,3607,1696,5303
2021-05-01T00:00:00.000Z,לוכסמבורג,1,0,1
2021-05-01T00:00:00.000Z,לטביה,2,2,4
2021-05-01T00:00:00.000Z,ליטא,2,2,4
2021-05-01T00:00:00.000Z,לסוטו,1,0,1
2021-05-01T00:00:00.000Z,מולדובה,25,62,87
2021-05-01T00:00:00.000Z,מונטנגרו,2,0,2
2021-05-01T00:00:00.000Z,מלדיבים,10,1,11
2021-05-01T00:00:00.000Z,מלטה,1,6,7
2021-05-01T00:00:00.000Z,מצרים,736,44,780
2021-05-01T00:00:00.000Z,מקסיקו,16,11,27
2021-05-01T00:00:00.000Z,מרוקו,1,6,7
2021-05-01T00:00:00.000Z,נורבגיה,0,1,1
2021-05-01T00:00:00.000Z,ניגריה,3,0,3
2021-05-01T00:00:00.000Z,ניו זילנד,0,1,1
2021-05-01T00:00:00.000Z,נפאל,4,0,4
2021-05-01T00:00:00.000Z,סין,0,3,3
2021-05-01T00:00:00.000Z,סינגפור,0,2,2
2021-05-01T00:00:00.000Z,סלובניה,1,0,1
2021-05-01T00:00:00.000Z,ספרד,13,4,17
2021-05-01T00:00:00.000Z,סרביה,0,4,4
2021-05-01T00:00:00.000Z,סרי לנקה (צילון),0,2,2
2021-05-01T00:00:00.000Z,פולין,29,8,37
2021-05-01T00:00:00.000Z,פורטו ריקו,1,0,1
2021-05-01T00:00:00.000Z,פורטוגל,7,4,11
2021-05-01T00:00:00.000Z,פיליפינים,0,14,14
2021-05-01T00:00:00.000Z,פינלנד,1,4,5
2021-05-01T00:00:00.000Z,צכיה,2,7,9
2021-05-01T00:00:00.000Z,צרפת,34,39,73
2021-05-01T00:00:00.000Z,קולומביה,3,0,3
2021-05-01T00:00:00.000Z,קוסטה ריקה,2,1,3
2021-05-01T00:00:00.000Z,קוריאה הדרומית,3,0,3
2021-05-01T00:00:00.000Z,קזחסטאן,0,1,1
2021-05-01T00:00:00.000Z,קנדה,3,8,11
2021-05-01T00:00:00.000Z,קניה,5,2,7
2021-05-01T00:00:00.000Z,קפריסין,150,23,173
2021-05-01T00:00:00.000Z,קרואטיה,9,0,9
2021-05-01T00:00:00.000Z,רואנדה,3,2,5
2021-05-01T00:00:00.000Z,רומניה,1,2,3
2021-05-01T00:00:00.000Z,רוסיה,3,4,7
2021-05-01T00:00:00.000Z,תורכמניסטאן,1,0,1
2021-05-01T00:00:00.000Z,תורכיה,208,87,295
2021-05-01T00:00:00.000Z,תאילנד,1,0,1
2021-05-01T00:00:00.000Z,שוויץ,3,2,5
2021-05-01T00:00:00.000Z,גאורגיה,8,0,8
2021-05-01T00:00:00.000Z,ברזיל,5,5,10
2021-05-01T00:00:00.000Z,בלגיה,2,9,11
2021-05-01T00:00:00.000Z,אוגנדה,4,0,4
2021-05-01T00:00:00.000Z,אוסטריה,17,21,38
2021-05-01T00:00:00.000Z,אוסטרליה,1,5,6
2021-05-01T00:00:00.000Z,אוקראינה,121,55,176
2021-05-01T00:00:00.000Z,אזרביג'אן,4,0,4
2021-05-01T00:00:00.000Z,איטליה,15,19,34
2021-05-01T00:00:00.000Z,אירלנד,0,17,17
2021-05-01T00:00:00.000Z,בילורוסיה,1,0,1
2021-05-01T00:00:00.000Z,אקואדור,0,2,2
2021-05-01T00:00:00.000Z,ארמניה,12,0,12
2021-05-01T00:00:00.000Z,ארצות הברית,417,374,791
2021-05-01T00:00:00.000Z,אתיופיה,41,19,60
2021-05-01T00:00:00.000Z,בוטסואנה,1,0,1
2021-05-01T00:00:00.000Z,בוסניה הרצגובינה,3,0,3
2021-05-01T00:00:00.000Z,דרום אפריקה,11,8,19
2021-05-02T00:00:00.000Z,אוגנדה,0,2,2
2021-05-02T00:00:00.000Z,תורכיה,229,83,312
2021-05-02T00:00:00.000Z,תוניסיה,1,0,1
2021-05-02T00:00:00.000Z,תאילנד,1,10,11
2021-05-02T00:00:00.000Z,שוויץ,59,55,114
2021-05-02T00:00:00.000Z,שוודיה,1,1,2
2021-05-02T00:00:00.000Z,רוסיה,71,91,162
2021-05-02T00:00:00.000Z,רומניה,47,16,63
2021-05-02T00:00:00.000Z,קרואטיה,23,3,26
