section,female,male,period
0-9,"{'amount': 10, 'percentage': 0.4}","{'amount': 25, 'percentage': 1}",שנה
0-9,"{'amount': 4, 'percentage': 0.4}","{'amount': 10, 'percentage': 1}",6 חודשים
0-9,"{'amount': 1, 'percentage': 0.2}","{'amount': 5, 'percentage': 1.1}",3 חודשים
0-9,"{'amount': 1, 'percentage': 0.5}","{'amount': 3, 'percentage': 1.4}",חודש אחרון
0-9,"{'amount': 17, 'percentage': 0.3}","{'amount': 34, 'percentage': 0.5}",מתחילת קורונה
10-19,"{'amount': 3, 'percentage': 0.3}","{'amount': 4, 'percentage': 0.4}",6 חודשים
10-19,"{'amount': 15, 'percentage': 0.6}","{'amount': 16, 'percentage': 0.6}",שנה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.2}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.5}",חודש אחרון
10-19,"{'amount': 23, 'percentage': 0.4}","{'amount': 25, 'percentage': 0.4}",מתחילת קורונה
20-29,"{'amount': 24, 'percentage': 0.9}","{'amount': 23, 'percentage': 0.9}",שנה
20-29,"{'amount': 6, 'percentage': 0.6}","{'amount': 7, 'percentage': 0.7}",6 חודשים
20-29,"{'amount': 6, 'percentage': 1.3}","{'amount': 3, 'percentage': 0.7}",3 חודשים
20-29,"{'amount': 2, 'percentage': 0.9}","{'amount': 1, 'percentage': 0.5}",חודש אחרון
20-29,"{'amount': 62, 'percentage': 1}","{'amount': 57, 'percentage': 0.9}",מתחילת קורונה
30-39,"{'amount': 40, 'percentage': 1.6}","{'amount': 47, 'percentage': 1.8}",שנה
30-39,"{'amount': 17, 'percentage': 1.8}","{'amount': 18, 'percentage': 1.9}",6 חודשים
30-39,"{'amount': 9, 'percentage': 2}","{'amount': 3, 'percentage': 0.7}",3 חודשים
30-39,"{'amount': 4, 'percentage': 1.9}","{'amount': 1, 'percentage': 0.5}",חודש אחרון
30-39,"{'amount': 111, 'percentage': 1.7}","{'amount': 106, 'percentage': 1.6}",מתחילת קורונה
40-49,"{'amount': 53, 'percentage': 2.1}","{'amount': 104, 'percentage': 4.1}",שנה
40-49,"{'amount': 11, 'percentage': 1.2}","{'amount': 22, 'percentage': 2.3}",6 חודשים
40-49,"{'amount': 5, 'percentage': 1.1}","{'amount': 10, 'percentage': 2.2}",3 חודשים
40-49,"{'amount': 2, 'percentage': 0.9}","{'amount': 3, 'percentage': 1.4}",חודש אחרון
40-49,"{'amount': 142, 'percentage': 2.2}","{'amount': 270, 'percentage': 4.2}",מתחילת קורונה
50-59,"{'amount': 28, 'percentage': 2.9}","{'amount': 62, 'percentage': 6.5}",6 חודשים
50-59,"{'amount': 8, 'percentage': 3.8}","{'amount': 14, 'percentage': 6.6}",חודש אחרון
50-59,"{'amount': 108, 'percentage': 4.2}","{'amount': 198, 'percentage': 7.7}",שנה
50-59,"{'amount': 14, 'percentage': 3.1}","{'amount': 19, 'percentage': 4.2}",3 חודשים
50-59,"{'amount': 266, 'percentage': 4.1}","{'amount': 565, 'percentage': 8.8}",מתחילת קורונה
60-69,"{'amount': 66, 'percentage': 6.9}","{'amount': 141, 'percentage': 14.8}",6 חודשים
60-69,"{'amount': 29, 'percentage': 6.5}","{'amount': 64, 'percentage': 14.3}",3 חודשים
60-69,"{'amount': 14, 'percentage': 6.6}","{'amount': 31, 'percentage': 14.7}",חודש אחרון
60-69,"{'amount': 528, 'percentage': 8.2}","{'amount': 985, 'percentage': 15.3}",מתחילת קורונה
60-69,"{'amount': 212, 'percentage': 8.3}","{'amount': 325, 'percentage': 12.7}",שנה
70-79,"{'amount': 49, 'percentage': 10.9}","{'amount': 85, 'percentage': 19}",3 חודשים
70-79,"{'amount': 102, 'percentage': 10.7}","{'amount': 174, 'percentage': 18.2}",6 חודשים
70-79,"{'amount': 27, 'percentage': 12.8}","{'amount': 35, 'percentage': 16.6}",חודש אחרון
70-79,"{'amount': 276, 'percentage': 10.8}","{'amount': 401, 'percentage': 15.7}",שנה
70-79,"{'amount': 627, 'percentage': 9.7}","{'amount': 1100, 'percentage': 17.1}",מתחילת קורונה
80-89,"{'amount': 86, 'percentage': 9}","{'amount': 126, 'percentage': 13.2}",6 חודשים
80-89,"{'amount': 43, 'percentage': 9.6}","{'amount': 64, 'percentage': 14.3}",3 חודשים
80-89,"{'amount': 23, 'percentage': 10.9}","{'amount': 29, 'percentage': 13.7}",חודש אחרון
80-89,"{'amount': 229, 'percentage': 8.9}","{'amount': 300, 'percentage': 11.7}",שנה
80-89,"{'amount': 518, 'percentage': 8}","{'amount': 698, 'percentage': 10.8}",מתחילת קורונה
90+,"{'amount': 34, 'percentage': 3.6}","{'amount': 34, 'percentage': 3.6}",6 חודשים
90+,"{'amount': 79, 'percentage': 3.1}","{'amount': 75, 'percentage': 2.9}",שנה
90+,"{'amount': 19, 'percentage': 4.2}","{'amount': 19, 'percentage': 4.2}",3 חודשים
90+,"{'amount': 6, 'percentage': 2.8}","{'amount': 6, 'percentage': 2.8}",חודש אחרון
90+,"{'amount': 157, 'percentage': 2.4}","{'amount': 160, 'percentage': 2.5}",מתחילת קורונה
